,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
,PARIS 1er Les Halles,Route Nationale 6 - MELUN,Boulevard Soult,Place de l'Opéra,RN20 Montlhéry,Boulevard Périphérique Est,ARGENTEUIL,AUBERVILLIERS,Boulevard Péripherique Auteuil,Autoroute A1 - Saint-Denis,Place Victor Basch,BOBIGNY,Rue Bonaparte,Quai des Célestins,CHAMPIGNY-SUR-MARNE,LA DEFENSE,Tour Eiffel 3ème étage,Avenue des Champs Elysées,EVRY,GENNEVILLIERS,GONESSE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS 7ème,PARIS 12ème,PARIS 13ème,PARIS 18ème,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route nationale 2 - PANTIN,Paris stade Lenglen,0
,PA01H,RN6,SOULT,OPERA,RN20,BP_EST,ARG,AUB,AUT,A1,BASCH,BOB,BONAP,CELES,CHAMP,DEF,EIFF3,ELYS,EVRY,GEN,GON,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,PA15L,1
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,2
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2021/03/03 05:00:00+00,,80.200000,82.900000,115.700000,259.400000,237.200000,108.700000,113.300000,299.100000,179.100000,79,135.700000,107.200000,112.100000,17.700000,35.600000,0.300000,157.800000,4.900000,81,17.100000,4,19.700000,,28.600000,99.300000,67.200000,47.100000,72.700000,88.900000,0.100000,0.100000,81.700000,42.100000,89.200000,26.100000,19.500000,54.700000,205.100000,11.900000,1473
2021/03/03 06:00:00+00,,147,159.400000,167.800000,408.700000,309.700000,153.900000,150.800000,421.800000,326.800000,158.600000,182.700000,158.100000,197.900000,67.700000,51.100000,0.700000,177.500000,32.800000,110.900000,77,38.800000,41.200000,,71,124.600000,64.400000,93.200000,92.300000,140.600000,0.100000,0.100000,102.400000,71.600000,162.300000,38.900000,56.200000,208.200000,218.500000,29,1474
2021/03/03 07:00:00+00,,334.100000,202.300000,209.800000,438.900000,375.600000,183.700000,255.500000,431.600000,468.100000,235.200000,244,173.600000,332.800000,107.300000,136.800000,0.800000,232.800000,66.200000,114.100000,100.600000,67.900000,60.700000,,100.800000,135.700000,123.500000,157.500000,86,203.300000,0.300000,0.400000,142.100000,101.800000,186.600000,119.300000,89.400000,260,301.600000,68.800000,1475
2021/03/03 08:00:00+00,,365.700000,230.200000,249.600000,455.300000,431.500000,227.400000,244.600000,482.500000,472.600000,308.800000,367.700000,274.600000,359.400000,65,160.800000,0.900000,304.900000,42.600000,125.400000,177.200000,59.800000,78.200000,,123.100000,132.600000,185.300000,211.500000,186.600000,274.400000,1.100000,2.100000,204.400000,130.800000,259.900000,158.800000,119.800000,183.300000,275.600000,108.500000,1476
2021/03/03 09:00:00+00,,218.300000,121.100000,302.300000,395.400000,366.800000,178.600000,237.900000,350.700000,461.400000,242.100000,159.100000,265.800000,314.800000,45.900000,133.900000,0.700000,227.300000,37.900000,322.100000,314.100000,75,81.900000,,90.100000,144.400000,202.600000,149.200000,250.800000,182.100000,1.500000,3,214.400000,155.700000,297.100000,10,76.500000,160.400000,346.800000,121.800000,1477
2021/03/03 10:00:00+00,,111.500000,133.800000,200.700000,186,350.400000,149.500000,105.800000,202.400000,503.700000,283.600000,80,191.800000,301,54.300000,75.700000,4.100000,141.500000,15,266.800000,236.800000,19.800000,73,,24.100000,105.100000,88.700000,153.200000,143.100000,147.200000,1.600000,6,319,131.600000,182.400000,2.800000,61.600000,90.200000,227.200000,106.600000,1478
2021/03/03 11:00:00+00,,64.900000,127.100000,136.100000,170.900000,162.300000,69.600000,107.800000,160.500000,405,212.500000,67,224.600000,278.600000,35.600000,141,12.100000,97.200000,11.200000,134.900000,192.600000,13.400000,42.300000,,20.300000,24.900000,37.200000,137.500000,76,48.300000,1.600000,2.800000,253.900000,47.800000,180.200000,,60.400000,55.600000,190.600000,59.900000,1479
2021/03/03 12:00:00+00,,38.200000,55.900000,77.600000,158,124,44.900000,47.700000,126.700000,260.500000,94.100000,32.400000,63.900000,,13.500000,13,11.300000,42.400000,5.500000,34.300000,102.600000,4,8.900000,,10.200000,8.500000,14.100000,50.700000,14.100000,16.700000,1.300000,1.300000,117.200000,21.200000,115.200000,0.900000,15.800000,15.800000,114.800000,3.800000,1480
2021/03/03 13:00:00+00,,49.600000,19.300000,49.300000,159.700000,115.100000,34.500000,13,97.800000,177.700000,82.300000,14.700000,39.500000,26.900000,9.300000,6.400000,2.700000,23.800000,3.600000,6,29.700000,4,5.600000,,3.600000,4.300000,3.300000,9.100000,4.200000,4,0.500000,0.700000,8.300000,8.400000,61.600000,0.800000,10.500000,4.500000,72.300000,3.600000,1481
2021/03/03 14:00:00+00,,53,19.500000,127,138.500000,81.200000,16.700000,4.400000,112.100000,167.700000,90.400000,6.100000,,14.500000,3.700000,,2.100000,22.800000,2.200000,2.400000,5.100000,3.500000,4.200000,,2.500000,3,2.900000,4.500000,2.500000,3.100000,0.100000,0.800000,3.400000,6.500000,34.800000,1,4,1.300000,64,2.800000,1482
2021/03/03 15:00:00+00,,74.200000,19.500000,55.700000,112.900000,63.600000,8.200000,2.700000,146,173.600000,49.100000,4.300000,,27.600000,3.100000,,1.600000,24.100000,3.700000,2.600000,1.600000,2,4.200000,,2,3.300000,2.300000,3,2,2.700000,0.100000,0.400000,2.900000,2.600000,50,1.300000,2.500000,2.100000,44,2.600000,1483
2021/03/03 16:00:00+00,,70.500000,25.200000,95.500000,175.300000,53.100000,10.400000,1.300000,85.700000,175.800000,92.600000,4.800000,,40.300000,2.900000,,2,27.100000,2.800000,1.800000,0.300000,2,7.100000,,1.900000,3,1.600000,5.100000,1.100000,2.800000,0.100000,0.400000,2.300000,3.900000,77.100000,0.500000,2.600000,5,30.700000,2.500000,1484
2021/03/03 17:00:00+00,,60.500000,24.600000,58.400000,229.400000,57.100000,7.500000,1.700000,89.600000,127.400000,80.900000,4,68.600000,25.300000,4.300000,,1.400000,21.900000,3.400000,2.100000,0.300000,1.900000,8.900000,,2.400000,2.600000,0.800000,3.200000,0.900000,1.600000,0.100000,0.100000,2.400000,5.900000,65.200000,0.500000,2.500000,1.200000,94.900000,1.900000,1485
2021/03/03 18:00:00+00,,69.800000,34.300000,47.300000,173.700000,71.100000,9.800000,2.500000,114,81.400000,101.100000,3,51,16.200000,4.700000,,0.700000,19.800000,3.600000,1,4,3.100000,27.800000,,3.200000,4.600000,0.100000,4.400000,0.600000,0.800000,0.100000,0.600000,1.300000,8.800000,26.900000,0.500000,1.400000,0.600000,86.400000,1.500000,1486
2021/03/03 19:00:00+00,,44.400000,20.800000,,184.800000,55,13.200000,7.300000,113.800000,73,108.600000,13.400000,36.500000,15.800000,19.600000,,0.400000,15.200000,5.600000,1.700000,6.500000,15.600000,30.900000,,2.300000,4,0.100000,8.600000,3.800000,0.700000,0.100000,0.300000,0.700000,25.600000,31.100000,0.400000,1.100000,0.500000,73.200000,2.100000,1487
2021/03/03 20:00:00+00,,88.700000,15.300000,34.800000,189.800000,52.800000,2.600000,3.100000,86.200000,56.700000,68.300000,10.100000,42.400000,20.800000,9.400000,,0.700000,8.800000,5.300000,1.700000,31.600000,34.400000,14.600000,,1.700000,3.700000,0.100000,2.700000,1.800000,1,0.100000,0.100000,0.500000,50.200000,23.700000,0.300000,0.400000,5.100000,39.400000,1.400000,1488
2021/03/03 21:00:00+00,,87,17.100000,15.500000,116.900000,43.300000,1.700000,0.300000,72.900000,58.900000,59.600000,1.600000,32.700000,8.900000,6.800000,,1.300000,4.100000,3,1.100000,36.100000,18.100000,15,,1.500000,2.900000,0.100000,2.400000,3.700000,0.900000,0,0.200000,0.800000,23.300000,12.600000,0.500000,2.500000,0.900000,21.200000,1.500000,1489
2021/03/03 22:00:00+00,,45.900000,2.800000,8.500000,42.800000,22.300000,2,0,19.100000,57.100000,17.300000,0.900000,21.500000,3.500000,5.100000,,1,5.500000,0.700000,0.800000,31,2.400000,10.900000,,1.700000,2,0,1,0.800000,0.600000,0.100000,0.100000,0,27.700000,6.500000,0.100000,0.400000,0.400000,22,1.700000,1490
2021/03/03 23:00:00+00,,21.500000,1.300000,8.300000,25,8,1.100000,0,26.300000,60.200000,11.700000,0.900000,15.300000,4.400000,2.800000,,1,2.700000,1.200000,1.100000,0,1.100000,7.800000,,2.300000,2.100000,0,1.900000,0,0.900000,0.200000,0.100000,0.100000,2.700000,6.700000,0.200000,0.900000,1.800000,3,1.700000,1491
2021/03/04 00:00:00+00,,19.300000,4.400000,7.700000,20.300000,13.700000,0.300000,0,38.900000,28.800000,11.700000,1.200000,22.700000,12.700000,2.800000,,0.700000,6.700000,0.700000,1.300000,0,1.100000,3.300000,,1.500000,1.900000,0,2,0.100000,0.500000,0.100000,1.900000,0,2.100000,3.600000,0.200000,0.300000,0.200000,4.300000,0.800000,1492
2021/03/04 01:00:00+00,,18.700000,1.300000,4.200000,26.800000,3.400000,0.100000,0,30.200000,33.100000,15.600000,1.700000,8.300000,7.800000,2.900000,,0.800000,5.800000,0.800000,1.400000,0,1.500000,10.400000,,1.200000,1.500000,0,0.900000,0,0.300000,0.200000,0.100000,0,2.100000,4.100000,0.200000,0.900000,0.400000,7.900000,1.400000,1493
2021/03/04 02:00:00+00,,12.300000,1.900000,5.500000,54.700000,4.700000,1.100000,0,35.500000,43.400000,4.200000,1.400000,1.500000,2.400000,4.100000,,0.800000,2.500000,0.500000,1,0,1.700000,7.100000,,1.500000,1.400000,0,0.800000,0,0.200000,0.100000,0.100000,0,1.800000,3.300000,0.200000,0.800000,0,1.900000,1.400000,1494
2021/03/04 03:00:00+00,,16.500000,3.500000,3.900000,63,23.700000,7.200000,0,56.400000,56.300000,7.200000,2.500000,7.700000,3,3.100000,,0.700000,4.600000,0.500000,1,0,2.200000,9.700000,,1.300000,1.200000,0,1,0.200000,0.600000,0.100000,0,0,3,2.900000,0.300000,1,0.600000,15.200000,1.700000,1495
2021/03/04 04:00:00+00,,29.400000,8.500000,7.600000,111,104.900000,3.400000,0.100000,93.900000,73.700000,10.300000,4.300000,13.200000,9.700000,5.600000,,0.700000,4.200000,2.200000,1.500000,1.900000,4.800000,14,,1.600000,3.400000,0.100000,3.100000,0.300000,0.600000,0,0.400000,0.300000,13.500000,5.200000,0.300000,2,1.900000,26.100000,1.800000,1496
2021/03/04 05:00:00+00,,103.600000,41.400000,12.800000,238.600000,122.600000,6.300000,0,157,152.300000,29.900000,1.700000,3.300000,24.400000,11.300000,,0.500000,8.400000,3,3.900000,6.600000,21.200000,13.400000,,2.900000,4.300000,0.200000,3.300000,2,0.800000,0.200000,0,1.200000,30.800000,5.900000,0.500000,6.300000,10.500000,21.400000,1.600000,1497
2021/03/04 06:00:00+00,,116,50.200000,28.800000,392.700000,139,26.700000,11.400000,280.700000,290.700000,42.400000,5.100000,22.900000,59.200000,27,,0.900000,25.400000,4.300000,4.100000,14.800000,43.700000,42.200000,,13.200000,8.600000,0.500000,4.500000,17,4,0.900000,0.200000,6.400000,55.900000,19,4.600000,36,82.800000,44.800000,2.700000,1498
2021/03/04 07:00:00+00,,83.600000,93.600000,52.300000,362,40.500000,20.700000,17.700000,338.500000,332.100000,75.300000,14.200000,55.300000,64.900000,62.900000,,0.800000,38.200000,19.700000,20.200000,48.200000,42.200000,90.300000,,32.700000,20.300000,5.900000,13,10.200000,6.300000,1.800000,0.300000,31,70.300000,27.700000,30.600000,74.500000,107.200000,81.400000,5,1499
2021/03/04 08:00:00+00,,107.900000,40.300000,66.200000,302.200000,8.700000,17.700000,15.800000,224,208.800000,78.400000,13.300000,46.600000,78.300000,90,,1.200000,30.800000,29.900000,15,11.900000,61.600000,101,,52.900000,20.500000,8.700000,22.800000,4.200000,12.500000,7.500000,2.800000,24.300000,94.900000,47.200000,35.500000,58,49.400000,36,8.700000,1500
2021/03/04 09:00:00+00,,87.200000,34.600000,82.900000,208.600000,16.100000,13,16.300000,125.500000,249.400000,78.600000,11.400000,45.300000,71,48.900000,,2.200000,37.400000,26.900000,14.900000,10.600000,74.300000,17.600000,,34.400000,12.400000,9.300000,19.300000,6.100000,14.500000,3.300000,5.400000,16.200000,32.600000,36.500000,18.100000,17.300000,11.700000,30.200000,10.900000,1501
2021/03/04 10:00:00+00,,44.900000,17,48.700000,120.700000,9.800000,7.600000,9.300000,115.900000,147.700000,58,12.100000,44.700000,58.600000,11.700000,,4.300000,27.500000,7.200000,8.400000,1.900000,15.800000,12.200000,,9.700000,7.300000,6.200000,21.100000,6.200000,9.300000,1.200000,3.800000,8.600000,,30.200000,4.400000,14.400000,11.900000,23.900000,6.600000,1502
2021/03/04 11:00:00+00,,47.900000,18.400000,40.600000,116,5.700000,6.200000,4,146.200000,143.700000,52.800000,4.400000,23.700000,60,6.300000,,3.200000,23.500000,5.700000,4.300000,0.300000,,7.100000,,4,4.400000,5.700000,13.200000,4,6.800000,0.500000,2.700000,5.800000,,23.800000,2.300000,7,7.200000,28.600000,5.100000,1503
2021/03/04 12:00:00+00,,45.300000,15.100000,43.600000,105.800000,7,6,3.600000,159.700000,169.500000,46.500000,3.500000,33.600000,39.100000,5.200000,,1.900000,25.200000,3.300000,3.300000,0.300000,,13.100000,,2.900000,5.100000,3.500000,11.500000,2.200000,6.300000,0.400000,2.300000,5,,49.100000,2,4.300000,4.600000,20.500000,4,1504
2021/03/04 13:00:00+00,4.400000,22.900000,17.500000,42,86.100000,5.400000,4.200000,2.900000,131,148,41.300000,2.600000,31.600000,28.800000,5.300000,,1.900000,21.900000,2.500000,2.500000,0.300000,,6.300000,,2.600000,5.700000,3.200000,8.900000,1.800000,5,0.200000,0.400000,4.100000,3.700000,39.500000,1.800000,4.200000,4.700000,17.300000,3.700000,1505
2021/03/04 14:00:00+00,3.500000,22.100000,23.700000,,92.400000,4.400000,3.700000,2.100000,126.800000,186.300000,45.500000,2.300000,23.800000,35.200000,5,,1.700000,21.600000,3.100000,2.700000,0.100000,3.500000,6.500000,,2.500000,4.600000,2.800000,6.900000,1.800000,4.900000,0.300000,0.600000,3.600000,2.400000,37,1.100000,3.700000,4.500000,20.600000,2.800000,1506
2021/03/04 15:00:00+00,1.600000,24.200000,15.700000,,113.800000,4,2.600000,1,131.400000,102.500000,58.500000,2.300000,18.300000,31.600000,3.100000,,1,25.500000,1.800000,1.300000,0.900000,2.900000,7.100000,,3.500000,2.400000,1.900000,6.400000,0.800000,4.200000,0.100000,0.600000,3,3.200000,37.500000,1.400000,2.500000,5.800000,30.500000,3.700000,1507
2021/03/04 16:00:00+00,2,38.900000,22.100000,,151.200000,7.200000,5.600000,2.800000,148,128.100000,73.600000,3.400000,19.700000,41,3.500000,,1.800000,28.400000,2.300000,2.700000,1,2.600000,8.100000,,4.400000,3,3.800000,8.700000,0.900000,3.700000,0.200000,3,3.600000,7.600000,23.200000,2.900000,2.600000,4.700000,29.500000,4.900000,1508
2021/03/04 17:00:00+00,1.600000,26.600000,17.700000,45.800000,153.900000,10.600000,2.200000,1.200000,94.400000,99.200000,78.900000,2.300000,25.700000,44.300000,5,,1,15.100000,2.200000,2.700000,0.600000,3.400000,9.900000,,3,2.500000,2.900000,6.600000,0.800000,4.900000,0.100000,2.800000,2.200000,1.700000,10,3.100000,2.600000,3.300000,25.700000,3,1509
2021/03/04 18:00:00+00,1.400000,18.900000,23,43.400000,108,39.200000,2.700000,0.800000,88.700000,53.200000,62.800000,2.400000,26.400000,53.100000,4.300000,,1,5.600000,1.100000,3.100000,0.900000,2.100000,7.500000,,2.900000,2.800000,2.200000,3,0.800000,7.800000,0.100000,3.700000,1.700000,1.600000,3.300000,2.200000,1.100000,3,16.600000,2.200000,1510
2021/03/04 19:00:00+00,1.100000,23.800000,16.200000,33.200000,56.700000,35.300000,1.600000,0,89.200000,53.200000,45.700000,2,10,23.600000,4.300000,,0.700000,4,1.100000,1.800000,0.200000,1.400000,6.600000,,1.500000,2.400000,1.100000,3,0.300000,7.700000,0,0.400000,0.700000,1.300000,2.200000,2.200000,2.100000,2.300000,10.300000,1.900000,1511
2021/03/04 20:00:00+00,1.400000,31.400000,7.200000,24.400000,41.900000,21.900000,1.300000,0.100000,77.300000,38,36.600000,2,10.300000,20.300000,3.400000,,1,3.900000,1,1.300000,0,1.300000,3.900000,,0.800000,2.200000,1.400000,2.300000,0.300000,4.500000,0.100000,0.200000,0.500000,1,1.700000,1.900000,1.100000,1.900000,6.500000,2,1512
2021/03/04 21:00:00+00,1.100000,19.100000,3.500000,15,32.400000,14.200000,0.200000,0,43.300000,28.600000,24.200000,1.700000,9.800000,14.600000,2.900000,,0.900000,2.500000,1.200000,0.700000,0,1.500000,2.400000,,0.800000,1.600000,0.500000,1.500000,0.100000,2.300000,0,0.100000,0,0.600000,1,0.900000,1.200000,1,4.600000,1.600000,1513
2021/03/04 22:00:00+00,0.800000,9.100000,1.100000,13.400000,20.300000,13,0.200000,0,20.500000,22.600000,13.800000,1.300000,7.300000,7.700000,2.100000,,0.900000,2.200000,0.900000,0.600000,0,1.100000,1.400000,,0.800000,1.300000,0.200000,1.100000,0,2.600000,0.100000,0.100000,0,0.200000,0.200000,0.400000,0.500000,0.100000,2.600000,1.200000,1514
2021/03/04 23:00:00+00,1,3.600000,1.200000,8.100000,11,9.700000,0,0,21.200000,18,10.200000,1.500000,7.100000,9.300000,2,,1.100000,1.800000,0.700000,0.600000,0,0.900000,1.800000,,1,1.300000,0.100000,0.900000,0.100000,1.100000,0.100000,0.500000,0,0.300000,0.100000,0.400000,0.400000,0,2.800000,1.800000,1515
2021/03/05 00:00:00+00,0.900000,5.800000,1.700000,8.900000,10.500000,10.900000,0,0,13,13.500000,11.300000,1.600000,7.700000,5.200000,2.300000,,0.900000,1.600000,0.900000,0.600000,0,0.800000,1.300000,,1,0.800000,0,1.100000,0,1.600000,0,0.100000,0,1.300000,0.200000,0.300000,1.100000,0,2,1.300000,1516
2021/03/05 01:00:00+00,0.600000,6.400000,0.200000,4.200000,9.400000,8.100000,0,0,11,8.100000,7.300000,1.700000,2.200000,4,1.900000,,0.800000,1.100000,0.300000,0.500000,0,0.800000,0.800000,,0.900000,0.900000,0,1.200000,0,0.600000,0,0.100000,0,0.500000,0.300000,0.500000,0.300000,0,1.300000,1.300000,1517
2021/03/05 02:00:00+00,0.500000,3.400000,0.700000,3,9.600000,8.600000,0,0,6.700000,10.200000,5.900000,1.500000,2.100000,3.800000,2.300000,,0.500000,1.400000,0.500000,0.300000,0,0.700000,0.800000,,0.500000,0.800000,0,0.600000,0,0.800000,0,0.100000,0,0.400000,0,0.300000,0.700000,0,0.900000,1.300000,1518
2021/03/05 03:00:00+00,0.600000,2.300000,0.500000,2.100000,17,20.200000,0,0,13.500000,13.100000,8.200000,1.400000,2.600000,2.600000,1.700000,,0.700000,1.200000,1,0.500000,0,0.700000,0.600000,,0.900000,0.700000,0,1,0,0.500000,0,0,0,0.400000,0,0.200000,0.300000,0,1,1.600000,1519
2021/03/05 04:00:00+00,0.600000,6.900000,0.900000,2.900000,26.300000,17.800000,0,0,31,31.300000,12.200000,1.300000,2.100000,4.200000,2.100000,,0.700000,1.400000,0.800000,0.600000,0,0.700000,0.900000,,0.600000,0.900000,0,0.900000,0,0.500000,0,0.100000,0,0.400000,0.100000,0.200000,0.300000,0,1.600000,1.300000,1520
2021/03/05 05:00:00+00,0.500000,33.200000,0.500000,4.600000,40.900000,34.400000,0,0,85.300000,33.700000,36.500000,1.100000,1.900000,16.700000,1.800000,,0.700000,1.600000,0.900000,0.500000,0,1.200000,1,,0.900000,1,0,1.300000,0,1.500000,0.100000,0.100000,0,0.500000,0.700000,0.300000,1,0.400000,6.400000,0.800000,1521
2021/03/05 06:00:00+00,0.600000,60.400000,4.400000,16.300000,101.200000,51.800000,0,0,154,84.200000,46.600000,1.200000,5,45.700000,2.200000,,0.300000,2.500000,0.900000,1.200000,0.100000,1.100000,3.400000,,1.100000,1.500000,0.200000,1.300000,0.200000,2.500000,0.200000,0.100000,0,0.400000,4.800000,0.400000,0.900000,0.500000,9.400000,1.400000,1522
2021/03/05 07:00:00+00,0.600000,78.300000,9.400000,41.400000,121.600000,90.200000,0.300000,0.100000,167.500000,108.600000,76.100000,2.200000,24,109.700000,2.300000,,0.400000,3.500000,1.400000,1.600000,0.300000,1.600000,6.100000,,1.600000,1.700000,0.800000,1.800000,0.100000,4.300000,0.400000,0.100000,0.100000,1.500000,10.600000,1.200000,1.600000,2.400000,32.500000,2,1523
2021/03/05 08:00:00+00,1.400000,82.200000,11.400000,52.700000,101.900000,110.400000,2.900000,0.200000,139.700000,84.300000,66.500000,3.200000,111.400000,90.800000,2.800000,,0.800000,2.100000,1,3.200000,8.500000,2,7.700000,,3.100000,2.600000,0.900000,2.300000,0.500000,5.300000,0.100000,0,1.100000,1.600000,11.100000,1.400000,4.400000,1.400000,40.800000,2.100000,1524
2021/03/05 09:00:00+00,1.600000,66.800000,5.500000,54.100000,71.400000,100.200000,0.700000,0.700000,147,75.600000,73.100000,3.500000,47.800000,80.200000,3.400000,,1.500000,3.400000,0.900000,3.100000,0.700000,2.500000,7,,2.200000,2.500000,0.700000,2.300000,1.200000,4,0.200000,0.200000,1.300000,2,14.300000,1.900000,3.700000,1.900000,32.400000,2.100000,1525
2021/03/05 10:00:00+00,1.900000,53.100000,7.200000,69.200000,76.700000,97.900000,0.900000,1,167.900000,78.800000,59.300000,3,30.600000,58.100000,2.800000,,1.300000,4.400000,1.600000,3.200000,5.800000,2.500000,10.200000,,2.700000,2.800000,1.600000,4.300000,1.500000,4.500000,0.200000,0.400000,2.100000,1.500000,10.600000,1.700000,4.800000,3.100000,27.600000,2.500000,1526
2021/03/05 11:00:00+00,2.300000,57.500000,6.100000,45.500000,67,105.800000,1.300000,1.100000,154.600000,76.300000,53,2.200000,31.800000,42.300000,3.900000,,1.200000,3.400000,2.300000,3.300000,7.300000,2.700000,7,,3.800000,4.300000,1.300000,3.200000,1.200000,5.300000,0.200000,0.600000,2.300000,1.600000,15.500000,1.100000,3.300000,3.900000,41.400000,3.200000,1527
2021/03/05 12:00:00+00,2.400000,44.900000,5.600000,45.800000,64.600000,104.200000,1.200000,1.700000,183,70,41.500000,2.300000,28,50.400000,2.900000,,1.700000,4.500000,1.900000,3.800000,1.300000,2.600000,6.300000,,3.600000,5.800000,1.300000,3.700000,1.200000,4.400000,0.100000,0.700000,3.400000,2.100000,24.200000,2.300000,4.100000,1.400000,68.200000,3.300000,1528
2021/03/05 13:00:00+00,2,36.300000,6.200000,47.500000,67.500000,91.100000,1.600000,1.200000,141.500000,77.700000,51,3.800000,28.100000,50.600000,3.100000,,1.700000,3.300000,2.100000,3.300000,1.500000,2.500000,9.100000,,2,4.400000,1.300000,4.500000,1,5.300000,0.300000,1.100000,2.100000,2.400000,12.200000,2.300000,3.700000,0.700000,51.800000,2.900000,1529
2021/03/05 14:00:00+00,2.900000,41.600000,5.200000,46.800000,81.100000,102,1.500000,1.700000,155.100000,83,53.500000,3.100000,39.300000,39.300000,4.100000,,2,4.900000,2.100000,4.700000,1.300000,2.400000,9.300000,,2.200000,5.800000,1.800000,4,1.900000,7.700000,0.200000,1.300000,2.400000,2.100000,19.900000,2.800000,5.100000,2.300000,78.700000,2.900000,1530
2021/03/05 15:00:00+00,2.500000,48,8.700000,41,76.900000,101.200000,2.200000,1.600000,164.500000,73,53.700000,4,35.400000,83.100000,3.400000,,1.500000,3.900000,1.500000,4.400000,1.200000,2.600000,7.800000,,3.700000,5.200000,1.500000,3.100000,1.200000,4.600000,0.300000,0.900000,2.600000,2.200000,22,2.400000,4.100000,2,69.200000,3.400000,1531
2021/03/05 16:00:00+00,1.900000,48.300000,6.800000,146,86.800000,97.100000,2.400000,1.700000,154.700000,92.900000,49.900000,2.300000,30.400000,58.900000,3,,1.100000,3.500000,1.700000,4.300000,1.100000,2.600000,7.500000,,3.600000,4.800000,0.800000,3,0.900000,4.800000,0.300000,0.800000,2.200000,3.600000,22.700000,3.100000,4.500000,2.500000,91.300000,2.600000,1532
2021/03/05 17:00:00+00,1.300000,48.700000,5.500000,48.500000,91.100000,109.600000,2.100000,1.200000,134.800000,109,47.400000,1.900000,55.100000,58.800000,2.600000,,1.500000,2.700000,0.900000,4.900000,1.500000,2.100000,9.500000,,2.300000,4.800000,0.500000,2,0.300000,3.700000,0.200000,0.300000,1.500000,1.200000,21.500000,1.900000,4.100000,2.300000,110.300000,3,1533
2021/03/05 18:00:00+00,1,28,4.800000,115.100000,43,102,1.300000,0.100000,120.500000,80.300000,38.700000,1,37.500000,49.300000,1.800000,,1,2.200000,0.500000,2.700000,1,2,7.400000,,8,3.600000,0.300000,1.600000,0.100000,2.400000,0,0.100000,0.800000,2,14.400000,1.500000,3.200000,0.100000,54.700000,2.100000,1534
2021/03/05 19:00:00+00,0.700000,18.800000,7.400000,25.500000,28.200000,91.800000,0.300000,0.700000,101.200000,70.900000,27.600000,1,26.400000,28.200000,1.800000,,0.700000,1.800000,0.300000,2.100000,0.800000,1,11,,2.600000,2.300000,0.100000,1,0,2.500000,0,0,0.600000,1.400000,12.500000,1.600000,2.400000,0.200000,53.200000,1.500000,1535
2021/03/05 20:00:00+00,0.600000,24.500000,5.200000,17.200000,22.100000,98.400000,0.400000,1.300000,87,44.800000,28.500000,0.700000,26.300000,22.300000,2.100000,,0.800000,1.800000,1.200000,1.500000,0.300000,1.100000,7,,1.600000,1.900000,0,0.900000,0,3,0.200000,0,0.100000,1.500000,14.600000,1.600000,3,0.200000,31.500000,2,1536
