,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
2022/02/01 13:00:00+00,3.600000,62.400000,10,32.500000,95.300000,6.900000,5.100000,4,157.400000,136.700000,32,1.900000,,26.100000,9.500000,,0.500000,19.500000,3.600000,3.200000,0,4.500000,3,5.900000,5.500000,5,2.800000,5.300000,1.400000,4.500000,0.800000,0.200000,4.700000,6.500000,78.400000,2.500000,3.200000,3.600000,9,0.700000,761
2022/02/01 14:00:00+00,3.300000,55,15.800000,30.300000,63,8.500000,,4.300000,110.300000,121.500000,31.800000,2,,27.400000,4.600000,,0.500000,20.200000,4.200000,3.700000,0,2.400000,2.300000,7.300000,4.400000,4,3.100000,5.900000,2,5.100000,0.700000,0.300000,5.700000,4.700000,91.200000,2.100000,3.200000,1.800000,9.900000,1.900000,762
2022/02/01 15:00:00+00,2.300000,51.900000,8.700000,,46.400000,3.500000,2.300000,2.800000,89.700000,122,34.300000,1.500000,14.500000,26.400000,3,,0.400000,17.400000,3,3.500000,0,1.200000,4.200000,4.300000,2.800000,3.200000,2.900000,5,1.500000,3.900000,0.600000,0,5.400000,3.800000,58,1.600000,2.700000,1.800000,10.100000,2.100000,763
2022/02/01 16:00:00+00,2.400000,41.700000,10.100000,28.300000,58.700000,3.100000,4.400000,2.500000,110.600000,119.300000,39,1.800000,24,23.600000,2.700000,,0.400000,20.700000,2.400000,2.600000,0,1,3.100000,9.100000,3.900000,3.300000,2.800000,5,1.100000,4.400000,0.400000,0.100000,6.500000,2.900000,51.100000,2.500000,2.800000,2.200000,8.500000,0.900000,764
2022/02/01 17:00:00+00,2,65.100000,12.400000,29.400000,86.200000,4.300000,3,1.900000,98.300000,112.600000,31.800000,0.900000,18.600000,19.300000,2.700000,,0.100000,17.500000,2.700000,1.600000,0,0.900000,4.400000,5.400000,3,3.600000,1.600000,4.500000,0.600000,3.700000,0.200000,0.100000,3.100000,2.100000,66.700000,2.600000,1.600000,1.400000,6.200000,0.100000,765
2022/02/01 18:00:00+00,1.400000,50.100000,9.200000,24,58.400000,5.800000,2.200000,1.200000,73.600000,108.100000,33.600000,0.200000,20.800000,18.100000,1.900000,,0.200000,14.900000,2.300000,1.500000,0,0.500000,7,4.300000,3.300000,2.900000,1,3,0,2.900000,0.400000,0,2.200000,2.600000,76.500000,4.200000,1.100000,2,5.400000,0,766
2022/02/01 19:00:00+00,1.600000,34.900000,5.800000,22.800000,32.900000,3,2.300000,0.800000,62.600000,86.500000,29,1.300000,13.300000,17.300000,1.500000,,0.100000,14.400000,0.700000,1.200000,0,0.500000,3.400000,2.800000,2.400000,3.200000,1.400000,3.800000,0.100000,3.600000,0.600000,0.100000,2.300000,1.900000,45.300000,2,1.300000,0.900000,7.700000,0.400000,767
2022/02/01 20:00:00+00,1.400000,28.300000,4.500000,21,29.900000,2.300000,1,1.700000,55.400000,89.200000,28.100000,0.400000,9.500000,11.300000,0.900000,,0.100000,10,0.500000,0.900000,0,0.400000,0.200000,2.100000,2.200000,2.600000,1,4.700000,0,3.600000,0.500000,0.300000,1.600000,1.100000,10.600000,1.100000,1,1.200000,11.300000,2.100000,768
2022/02/01 21:00:00+00,1.500000,30.700000,2.400000,12.500000,20.800000,2.500000,0.700000,1.200000,32,52.900000,22.300000,0.400000,7.200000,14.300000,0.800000,,0.100000,8.100000,0,1,0,0.300000,1.100000,1.300000,1.700000,2.700000,0.600000,2.800000,0,2.700000,0.300000,0.300000,0.900000,0.900000,11.300000,1,0.900000,0.200000,6.100000,2.500000,769
2022/02/01 22:00:00+00,1.300000,25.100000,2.300000,11.100000,12.800000,1.500000,0.400000,0.800000,18.900000,34,17.800000,0.500000,5.300000,11.100000,0.500000,,0.100000,9.300000,0,1.400000,0,0.300000,0,1.200000,1.900000,2.200000,0.900000,2.400000,0,2.600000,0.500000,0.200000,0.600000,0.900000,4.500000,0.700000,0.600000,0.200000,5,2.700000,770
2022/02/01 23:00:00+00,1.200000,17.600000,2.600000,11.600000,9.800000,1.100000,0.200000,0.300000,18.500000,27.700000,25.700000,0.400000,4.500000,12.400000,0.400000,,0,8.500000,0,1.100000,0,0.300000,0,0.900000,1.400000,1.900000,0.200000,1.500000,0,2.300000,0.400000,0.100000,0.600000,0.500000,4.300000,0.400000,0.500000,0.200000,3.600000,1.700000,771
2022/02/02 00:00:00+00,1,15.800000,1.700000,10.600000,11.500000,0.900000,0,0,12.800000,20.200000,16.400000,0.800000,3.500000,12.300000,0.200000,,0.200000,6.200000,0,1,0,0.100000,0,0.800000,1.500000,2.600000,0.300000,1.400000,0,2,0.400000,0.100000,0.600000,0.300000,2.700000,0.500000,0.500000,0.200000,3,1.600000,772
2022/02/02 01:00:00+00,0.900000,14.400000,2.500000,4.500000,8.400000,2.100000,0.300000,0,13.600000,21.800000,10.400000,0.400000,1.600000,6.700000,0.300000,,0.100000,6.700000,0,1.100000,0,0.100000,0,0.700000,1.400000,2.900000,0,1.400000,0.100000,1.800000,0.300000,0.400000,0.600000,1.300000,2.300000,0.500000,0.600000,0,3.500000,1.100000,773
2022/02/02 02:00:00+00,1.100000,18.700000,2.700000,4.300000,10.100000,1,0,0,9.700000,11.100000,11.100000,0.200000,1,6.500000,0.300000,,0,4.300000,0,0.700000,0,0.100000,0,0.900000,1.300000,2.100000,0,0.800000,0.300000,1.400000,0.100000,0.600000,0.500000,0.400000,0.800000,0.500000,0.500000,0,2.400000,0.500000,774
2022/02/02 03:00:00+00,1.300000,19.100000,3.300000,4,20.100000,1.500000,1,0.200000,10.100000,17.100000,6.900000,0.200000,2.400000,4.500000,0.500000,,0.300000,5.900000,0,0.800000,0,0.100000,0,1.100000,1.200000,2,0,0.900000,0,1.600000,0.400000,0.400000,0.400000,0.300000,0.900000,0.300000,0.500000,0,3.800000,0.500000,775
2022/02/02 04:00:00+00,1,22.200000,1.800000,3.700000,24.400000,1.200000,0.700000,0.100000,16.400000,36.100000,11,0.200000,1.200000,5.200000,0.400000,,0.300000,2.500000,0,1,0,0.200000,0.300000,0.800000,1.400000,2.200000,0,0.600000,0,1.500000,0.400000,0.200000,0.500000,0.400000,1.400000,0.200000,0.600000,0,4.100000,1.800000,776
2022/02/02 05:00:00+00,1.300000,23.400000,2.300000,5,72,3.300000,1.200000,0.600000,46,67.700000,21.400000,0.300000,1.200000,9.100000,0.500000,,0.200000,6.600000,0,0.700000,0,0.200000,0.500000,1,1.600000,2.400000,0.100000,1.100000,0.200000,1.900000,0.400000,0.100000,0.600000,0.500000,2.600000,0.500000,0.800000,0.300000,8.400000,1,777
2022/02/02 06:00:00+00,1.700000,40.100000,6.900000,27.700000,106.600000,5.700000,2.200000,2.600000,106.500000,186.800000,38,0.300000,6.800000,21.900000,1.700000,,0.100000,14.900000,0,1.600000,0,0.400000,2.700000,3.100000,2.600000,3.900000,1.700000,2.800000,0.600000,3.100000,0.500000,0.100000,0.800000,4,14.300000,1.900000,2.500000,1.400000,11.900000,0,778
2022/02/02 07:00:00+00,2.800000,63.600000,16.600000,37.500000,123.600000,5.100000,3.600000,4.900000,158.700000,174.500000,44.100000,0.800000,28.500000,32.400000,2.300000,,0.100000,25.800000,5,2.100000,0,0.600000,3.500000,7.500000,3.200000,6.100000,3.100000,4.100000,0.900000,4.800000,0.600000,0,1.500000,6.700000,39.200000,2.500000,5.100000,2.400000,22.400000,0.600000,779
2022/02/02 08:00:00+00,4,68.100000,22.200000,40.200000,105.300000,3.900000,3.500000,4.100000,149.800000,160.400000,49.500000,1.800000,65,49,3,,0.100000,28,5.300000,2.800000,0,1.300000,8.300000,12.900000,4,7.200000,5.300000,7.500000,3.900000,5.300000,0.300000,0,2.900000,4.700000,62,5.800000,4.100000,2.500000,15.800000,0.900000,780
2022/02/02 09:00:00+00,4.800000,46.500000,40.600000,46.300000,80.600000,7.100000,3.900000,5.800000,132.900000,157,50.200000,3.100000,59.400000,40.900000,7.900000,,0.300000,31.700000,2,2.700000,0.300000,2.300000,6.400000,9.200000,4.100000,6.300000,3.500000,8.500000,2.800000,8.200000,0.600000,0.100000,5.500000,7.200000,76.400000,3,5.400000,3.100000,18.300000,2,781
2022/02/02 10:00:00+00,5.300000,53.200000,17.200000,49,83.800000,5.500000,4.700000,4.800000,119.400000,151.500000,55.300000,2.600000,57,45.200000,5,,0.900000,24.900000,2.300000,3.800000,0.300000,3.400000,5.300000,5.100000,4.900000,5.800000,4.900000,7,2.300000,8.100000,0.400000,0.200000,5.200000,11.400000,63.800000,2.700000,6.300000,2.500000,15.600000,1.800000,782
2022/02/02 11:00:00+00,4.400000,57.300000,14.400000,43.100000,83.500000,4.500000,5.600000,3.900000,111.300000,140.100000,48.300000,2,42,37.500000,3.100000,,0.800000,24.300000,2.300000,3.300000,0,2.500000,8.700000,4.900000,4.100000,5.400000,4,7.800000,1.700000,6.700000,0.500000,0.300000,6.800000,5.300000,48.800000,4.500000,4.800000,2.600000,15.400000,1.300000,783
2022/02/02 12:00:00+00,3.600000,42.700000,12.200000,44.900000,81.200000,6.600000,4.500000,2.900000,103.900000,143.400000,47.900000,2.500000,25.800000,33.100000,3,,0.900000,20,2.900000,2.900000,0,1.900000,6,6.600000,3.600000,5.300000,3.800000,7.400000,1.400000,6.200000,0.700000,0.300000,5.600000,3.400000,46.800000,3,3.800000,3,13.600000,1.400000,784
2022/02/02 13:00:00+00,3.800000,49,16.100000,35.200000,54.800000,4.800000,5.500000,3.300000,93.400000,131.800000,52.800000,1.900000,23.400000,28.200000,3,,0.700000,22.100000,1.800000,2.800000,0,1.800000,4.100000,3.500000,3.100000,4.600000,3.800000,7,1.600000,5.200000,0.300000,0.200000,5.100000,4.300000,51.200000,2.800000,4.100000,2.700000,9.500000,3.300000,785
2022/02/02 14:00:00+00,,54.800000,13.500000,36.700000,76.800000,5.500000,3.800000,4.400000,103.100000,141.400000,58,,18,30.100000,3.300000,,0.600000,21,2.700000,2.900000,0,1.400000,10.800000,5.400000,3.200000,4.300000,4.200000,7.300000,0.600000,5.900000,0.500000,0.900000,6,3,53.600000,2.500000,3.500000,3.200000,15.700000,2,786
2022/02/02 15:00:00+00,,58.500000,16.300000,35.800000,65.500000,4.200000,4.100000,2.400000,108.300000,141.800000,42.100000,,30.900000,26,2.400000,,0.600000,22,2.300000,2.100000,0,1.300000,4.200000,5.300000,3.600000,4.100000,2.600000,5.100000,1,4.800000,0.400000,0.500000,6,4.300000,49,1.900000,3.400000,2.100000,9.500000,1.200000,787
2022/02/02 16:00:00+00,2.500000,67.200000,14.100000,43.700000,102,6.200000,4.500000,2.200000,119.700000,142.100000,46.400000,,44.900000,20.100000,2.600000,,0.300000,22.500000,2.300000,1.400000,0,1.400000,4.100000,9.100000,3.100000,3.400000,2,4,0.900000,4.400000,0.500000,0.100000,5,3.400000,34.500000,3.100000,1.900000,1.800000,10.800000,0.100000,788
2022/02/02 17:00:00+00,2.400000,77,17.700000,44,135.700000,10.900000,5.100000,2.400000,158.500000,158.800000,67.600000,,49.400000,26.400000,3.700000,,0.200000,20.900000,2.800000,1.700000,0,1,9.600000,4.700000,3.400000,3.400000,0.400000,3.100000,0.200000,2.500000,0.400000,0.100000,1.400000,4.300000,62.700000,2.300000,1.400000,2.900000,13,0.900000,789
2022/02/02 18:00:00+00,2.400000,81.400000,14.900000,44.900000,160.300000,19.600000,9.300000,1.800000,131.900000,146.800000,41.300000,,46,18,2.500000,,0.200000,17.900000,4,1,0,0.800000,13.500000,7.400000,3.300000,3.800000,0.600000,1.800000,0.800000,2.300000,0.400000,0.100000,1.800000,3.900000,82.400000,2.600000,0.600000,3.100000,10.300000,0,790
2022/02/02 19:00:00+00,2.100000,77,14.700000,39.400000,151.100000,30.600000,5.700000,0.700000,176,153.400000,58.700000,,65.400000,30.300000,3.800000,,0.200000,18.700000,2.900000,1,0,0.700000,17.400000,6.600000,4.500000,3.200000,0.200000,2.200000,0.100000,2.900000,0.600000,0.100000,2.200000,3.100000,91.700000,0.700000,0.700000,2.500000,9.100000,0,791
2022/02/02 20:00:00+00,2.200000,65.400000,11.400000,37,141.600000,39.800000,3.800000,1.500000,131.300000,175.500000,52.700000,,35.600000,18.800000,3.200000,,0.400000,14.900000,1.100000,1,0,0.600000,2.900000,4.500000,2.500000,3.500000,0,1.500000,0.800000,2.300000,0.600000,0.100000,2.800000,1.700000,31.400000,0.500000,0.800000,2.100000,8.400000,0,792
2022/02/02 21:00:00+00,2.100000,55.900000,7.800000,23.500000,87.200000,14.200000,2.700000,1,63.500000,107.700000,39.600000,,18.700000,12.300000,2,,0.200000,,0.200000,0.800000,0,0.400000,9.100000,2.400000,2.200000,2.600000,0,1.500000,0.600000,1.500000,0.600000,0.100000,1.900000,2.600000,12.700000,0.500000,0.600000,1,6.200000,0,793
2022/02/02 22:00:00+00,1.600000,42.500000,5.700000,16.500000,60.400000,14.800000,1.500000,0.500000,67.100000,37.700000,30.800000,,10.800000,10.600000,1.300000,,0.200000,,0,1,0,0.200000,2.800000,1.500000,2.500000,2.100000,0.200000,1.100000,0,1.500000,0.500000,0.100000,0.600000,2.600000,14.800000,0.400000,0.700000,0.700000,3.700000,0,794
2022/02/02 23:00:00+00,1.500000,40.200000,11,18,50.100000,25.100000,0.600000,0,39.100000,53.200000,45.500000,,18.300000,13.700000,1.300000,,0.100000,,0,1.100000,0,0.400000,3.100000,1,1.600000,1.700000,0,1,0.300000,1.500000,0.300000,0.100000,0.400000,1,23,0.200000,0.700000,0,5.800000,0,795
2022/02/03 00:00:00+00,1.300000,24.300000,4.600000,13.600000,36.300000,25.100000,0.400000,0.200000,24.300000,40.200000,37.100000,,11.600000,7.900000,1,,0.200000,,0,1.600000,0,0.400000,1.500000,0.900000,1.700000,1.900000,0,0.800000,0.200000,1.200000,0.500000,0.100000,0.300000,0.400000,15,0.400000,0.600000,0,5.300000,0,796
2022/02/03 01:00:00+00,1.400000,16.500000,3.300000,8.500000,34.500000,13.800000,0.100000,0.100000,18.800000,13.900000,20.400000,,7.800000,4.900000,0.700000,,0.300000,,0,1.300000,0,0.200000,0.700000,0.700000,1.500000,1.700000,0,0.600000,0,1.100000,0.400000,0.100000,0.300000,0.700000,8.100000,0.400000,0.500000,0,3.900000,0,797
2022/02/03 02:00:00+00,1.200000,16,3.500000,3.900000,24.400000,15,0,0,13.900000,9,12.300000,,4.500000,3.200000,0.600000,,0.200000,,0,0.500000,0,0.100000,0.300000,0.500000,1.500000,1.400000,0,0.500000,0.100000,1.100000,0.400000,0.100000,0.300000,0.500000,7.900000,0.400000,0.200000,0,3.300000,0,798
2022/02/03 03:00:00+00,0.900000,16.700000,1.900000,3.800000,36.500000,17.900000,0,0,12.900000,15.700000,13.100000,,3.200000,3.400000,0.400000,,0,,0,0.800000,0,0,0.600000,0.300000,1.400000,1.900000,0,0.500000,0.200000,1,0.300000,0.100000,0.200000,0.700000,4.900000,0.300000,0.400000,0,3.100000,0,799
2022/02/03 04:00:00+00,1.100000,16.900000,1.100000,3.700000,70.700000,47.800000,1.800000,0,24.900000,31,20.300000,,2.100000,3.800000,0.200000,,0.100000,,0,2.100000,0,0,0.200000,0.600000,1.900000,1.500000,0,0.700000,0,1.200000,0.300000,0,0.300000,0.500000,2.500000,0.400000,0.400000,0,12.100000,0,800
2022/02/03 05:00:00+00,1,27.100000,3.300000,5.500000,123.800000,83.100000,1.800000,0.400000,49.800000,89.100000,61,,1.900000,4.300000,1.100000,,0.100000,,0,1.700000,0,0.200000,0.500000,0.900000,1.800000,1.900000,0,0.700000,0.200000,1,0.300000,0.100000,0.300000,0.200000,4.900000,0.300000,0.700000,0,17.800000,0,801
2022/02/03 06:00:00+00,1.400000,41.600000,5.700000,14.900000,175.800000,75.400000,4.900000,2,95.300000,144.200000,87.400000,,6.500000,6.100000,3.300000,,0.300000,,0.600000,2,0,0.400000,3.200000,1.100000,2,2.100000,0,1.300000,0.200000,1.200000,0.500000,0.100000,0.300000,1,8.600000,0.500000,0.800000,0.200000,26.800000,0,802
2022/02/03 07:00:00+00,2,86.100000,15.700000,33.900000,144.100000,81.200000,5.900000,3.800000,99.400000,157.300000,90.600000,,29.500000,12,4,,0.300000,,2.500000,1.700000,0,0.200000,7.100000,2.900000,2.700000,3.400000,0.900000,1.700000,1.300000,1.900000,0.500000,0.100000,0.700000,5.300000,26,0.600000,2.200000,0.500000,33.500000,0.100000,803
2022/02/03 08:00:00+00,2.900000,115.400000,31.100000,47.300000,173,60.700000,7.800000,4.400000,142.600000,154.800000,59.900000,,64.200000,15.800000,7.800000,,0.300000,,3.600000,2.500000,0,0.500000,8.900000,6.300000,4.300000,3.600000,0.700000,3.300000,2.100000,2.400000,0.700000,0,1.200000,1.800000,30.600000,1.600000,1.300000,1.500000,29.800000,0.700000,804
2022/02/03 09:00:00+00,3.100000,105.100000,38.600000,56.500000,176.700000,52.900000,6.100000,3.800000,133.200000,125.600000,65.100000,,46.700000,127.400000,4.200000,,0.600000,,2.500000,2.700000,0,0.700000,5.500000,5.400000,4.200000,4.300000,1.100000,2.900000,1.900000,3,1,0.100000,1.300000,1.800000,71.700000,1.400000,1.500000,3.500000,15.300000,0.400000,805
2022/02/03 10:00:00+00,3.200000,81,22.300000,55.500000,137.700000,68.200000,8,4.400000,178.500000,104.400000,71.800000,,67.400000,66.900000,4.400000,,0.700000,,3.100000,2.600000,0,2,5,3.800000,3.700000,4.100000,1.100000,3.500000,2.200000,3.100000,0.600000,0.100000,2.300000,3,118.600000,1.300000,2,3.400000,27.700000,1.100000,806
2022/02/03 11:00:00+00,3.600000,83.300000,20.500000,65.300000,110.500000,49.800000,8.100000,5.400000,131.200000,198.500000,63.500000,,53.600000,106.700000,4.600000,,0.800000,,2.300000,1.700000,0.700000,1.800000,7,4.200000,3.800000,4.900000,2.100000,4.500000,2,3.600000,0.800000,0.100000,2.100000,2.800000,65.200000,1.600000,2.700000,3.500000,22.700000,0.700000,807
2022/02/03 12:00:00+00,4.200000,63,18.600000,53.400000,98.100000,42.300000,6.400000,4.600000,158.500000,169.900000,48.400000,,66.800000,88.200000,4.400000,,1,22.200000,2.500000,2.400000,0,1.600000,4.700000,3.700000,3.200000,4.900000,2.900000,3.500000,2.500000,4.400000,0.700000,0.300000,3.800000,3,72.400000,2.500000,2.300000,2.800000,27.700000,0.800000,808
2022/02/03 13:00:00+00,3.400000,59.200000,16.600000,46,110.700000,28.600000,6.100000,4,158.900000,179.300000,42,,30.900000,225.400000,5.700000,,0.800000,21,3.100000,1.700000,0,2.200000,7.300000,4.400000,3.600000,4.900000,3.600000,4.100000,2,5.900000,0.800000,0.100000,2.900000,15.300000,87.800000,2.500000,3.900000,3,10.600000,0.800000,809
2022/02/03 14:00:00+00,3.100000,46.400000,19.500000,38.700000,100,17.800000,6,4,142.300000,178.900000,46.900000,,28.800000,98.700000,4.400000,,0.700000,21.900000,3.600000,2.400000,0,1.900000,7.300000,3.300000,3.800000,4.600000,3.100000,5.400000,1.300000,4.800000,0.600000,0.100000,5.300000,5.400000,85.700000,2.900000,5,3,15.400000,2.100000,810
2022/02/03 15:00:00+00,3.300000,70.300000,28.500000,56.300000,103.200000,9.900000,8,4.200000,129.500000,196,,3.700000,44.900000,37.500000,7.500000,,0.900000,26.500000,3.100000,2.800000,0.100000,2.400000,5.300000,4.900000,4.200000,4,2.200000,8.200000,1.600000,4.600000,0.500000,0.100000,4,4.500000,88.100000,2.400000,4.900000,4.300000,29.200000,1.800000,811
2022/02/03 16:00:00+00,3.800000,77.200000,46.600000,62.400000,155,89.700000,11.800000,5.100000,171,182.900000,,4.400000,42.500000,45.800000,6.600000,,2,22.900000,5.400000,4.300000,0.700000,2,8.500000,15.300000,5.400000,3.700000,2.600000,5.700000,2,4.400000,0.400000,0.300000,4.100000,5.300000,112.600000,3.100000,4.400000,5.800000,29.900000,0.500000,812
2022/02/03 17:00:00+00,3,112.700000,42.700000,50,211.100000,48,10.200000,4.900000,189.100000,206.800000,,2.800000,89.500000,40.500000,9.800000,,0.600000,28.400000,6.600000,3.700000,0.900000,2.900000,11.800000,9.400000,6.100000,4.300000,0.900000,4.300000,1.200000,3.400000,0.100000,0.300000,2,5.600000,126.300000,4.500000,4.300000,7.200000,29.500000,0.100000,813
2022/02/03 18:00:00+00,3.600000,124.300000,45.600000,51.600000,183.100000,75.900000,11.900000,3.100000,172.800000,176.800000,,1.700000,60.500000,22,12.300000,,0.200000,27.800000,6.800000,4.300000,0.300000,4.100000,13.300000,11,8.500000,4.400000,1.100000,5.600000,2.800000,3.100000,0.600000,0.100000,1.700000,8.800000,79.600000,1.400000,4.200000,3.700000,9.800000,0.100000,814
2022/02/03 19:00:00+00,3.100000,68.500000,22.200000,45.300000,114.500000,98.100000,10,5.400000,76.500000,150,74.600000,3.600000,53.500000,22.100000,7.200000,,0.700000,18.200000,3.500000,2.800000,1.300000,4,6.300000,5,5.200000,4.900000,0,5.200000,2.800000,3,0.600000,0.100000,1.500000,11.300000,39,1.100000,2.400000,1.600000,32.800000,0,815
2022/02/03 20:00:00+00,3,54.500000,15.500000,35.200000,78.400000,57.900000,2.900000,3.200000,79.400000,122.600000,45.400000,1.500000,37.700000,14.300000,4.900000,,0.300000,16.500000,1.600000,1.300000,0.100000,2.100000,3.500000,3.300000,4,4,0.100000,3.900000,1.800000,3,0.600000,0,1.500000,4.500000,30.400000,1.400000,1.900000,3.200000,18.600000,0.100000,816
2022/02/03 21:00:00+00,2.900000,38.700000,6,28.700000,60.500000,20.900000,2.700000,1.300000,59.400000,76.400000,,0.200000,36.600000,17.800000,3.600000,,0.100000,10.700000,0.300000,1.800000,0,1,2.100000,2.100000,2.500000,2.800000,0.200000,2.200000,1.100000,3,0.600000,0.100000,1,2.300000,19.600000,0.900000,1.100000,1.300000,10.600000,0,817
2022/02/03 22:00:00+00,2.600000,28.900000,6.800000,19.200000,35.500000,26.800000,2.800000,1.200000,30.500000,46,,0.300000,13.500000,15.900000,2.400000,,0.300000,8.700000,0.200000,1.300000,0,0.700000,1,1.400000,2,2.500000,0.300000,1.600000,0.800000,2.500000,0.300000,0.100000,0.800000,1.500000,19.200000,0.800000,1.100000,0.800000,11.100000,0,818
2022/02/03 23:00:00+00,2.200000,28.600000,5.900000,27.700000,27.700000,16.500000,0.600000,1.500000,39.100000,33,,0.500000,21.300000,12.700000,1.500000,,0.300000,9,0.200000,0.600000,0,0.300000,0.800000,1.400000,1.900000,2.800000,0.200000,1.400000,0.500000,2.500000,0.400000,0,0.600000,1.200000,49.100000,0.800000,0.800000,0.600000,10,0,819
2022/02/04 00:00:00+00,2.300000,18.400000,5.200000,18.900000,25.900000,13.300000,0.500000,1.200000,28.700000,27.100000,32,0.200000,16.500000,7.800000,1.100000,,0.200000,6.800000,0,1.400000,0,0.100000,0,1.100000,1.600000,2.600000,0,1.100000,0.800000,2,0.300000,0.100000,0.700000,1.300000,21.400000,0.500000,0.700000,0.400000,6.600000,0,820
2022/02/04 01:00:00+00,2,14.800000,4.500000,13.200000,23.400000,12.500000,0.300000,1.100000,18.600000,20.200000,,0.200000,7.300000,9.600000,1,,0.100000,7.100000,0,1.100000,0,0.100000,0.400000,1.100000,1.700000,2.500000,0,1,0.200000,2,0.400000,0,0.600000,1.200000,17.200000,0.500000,0.700000,0.100000,4.700000,0,821
2022/02/04 02:00:00+00,1.700000,15.500000,6.200000,6.200000,30.100000,20.800000,0.200000,1,13.600000,9.100000,,0.100000,4.400000,4.900000,0.700000,,0.200000,6,0,0.600000,0,0.100000,0.100000,1,1.500000,2.400000,0,1,0.100000,1.800000,0.300000,0.100000,0.600000,1.200000,7,0.200000,0.800000,0,5,0,822
2022/02/04 03:00:00+00,1.900000,10.700000,1.900000,4.800000,30.200000,20.400000,0.200000,1.200000,20.900000,8.900000,,0,3,4.700000,0.700000,,0.200000,3.600000,0,0.900000,0,0,0,0.800000,1.500000,2.300000,0.700000,0.800000,0.100000,1.500000,0.500000,0,0.800000,1.600000,6,0.400000,0.800000,0,5.900000,0,823
2022/02/04 04:00:00+00,2,18.500000,4.300000,3.900000,61.900000,41.300000,2.300000,1.100000,28,27.800000,24.700000,0,6.700000,3.500000,1,,0.300000,4.500000,0,3.500000,0,0.100000,0.300000,0.800000,1.800000,2.500000,0,0.800000,0.300000,1.400000,0.400000,0,1,0.900000,4.700000,0.500000,1,0.100000,10.900000,0,824
2022/02/04 05:00:00+00,2.700000,35.600000,3.900000,6.700000,136.100000,47.200000,4.700000,1.900000,67.100000,97.600000,48.400000,0.100000,5,7.200000,2.100000,,0.200000,4.200000,0.200000,2.500000,0,0.200000,1,1.100000,2.200000,3.100000,0.400000,1.200000,0.600000,1.900000,0.200000,0,2.200000,0.800000,9.300000,0.700000,1,0.500000,18.300000,0,825
2022/02/04 06:00:00+00,3.600000,48,16.100000,16.900000,163,107.300000,6.300000,4.800000,126,180.300000,106.100000,2.800000,15.600000,13.800000,4.300000,,0.100000,8.600000,1.400000,3.400000,0.100000,0.500000,3.500000,2.100000,3.300000,5,0.600000,3.200000,2.200000,2.200000,0.400000,0,2.900000,1.500000,18.500000,0.600000,1.600000,1.100000,57.700000,0.200000,826
2022/02/04 07:00:00+00,4.700000,99.600000,19.100000,40.300000,169.300000,104.900000,9.900000,12.900000,155.800000,200.500000,123.900000,2.700000,50.700000,13.600000,8.400000,,0.200000,17.700000,4.100000,2.700000,0.300000,1.100000,5.200000,3.500000,6.600000,12.500000,0.700000,8.200000,4.400000,3,0.600000,0.100000,2.600000,8,25,1,3.400000,1.600000,88,0.400000,827
2022/02/04 08:00:00+00,8.100000,95,40.200000,57.800000,166.700000,96.800000,9.100000,16.400000,160,156.800000,116.100000,6.300000,82.800000,20.900000,14.800000,,0.300000,25.900000,5.300000,4.200000,2.300000,1.700000,8.300000,6.700000,5.100000,7.600000,1.300000,12.300000,9,4,0.600000,0,4.500000,4.700000,64.600000,1.800000,4.100000,4.200000,94.200000,1.300000,828
2022/02/04 09:00:00+00,6.300000,78,42.900000,62,138.200000,87.500000,6.800000,10.300000,216.900000,173.800000,87.800000,10.500000,104.700000,24.100000,11.900000,,0.400000,28.600000,3.800000,3.200000,0.500000,1.600000,6.500000,4.100000,5.200000,6.600000,1.700000,10.300000,8.100000,4.400000,0.500000,0.100000,3.800000,4.600000,66.200000,1.900000,4.300000,8.100000,52.400000,1.100000,829
2022/02/04 10:00:00+00,5.200000,87,30.600000,66.400000,122.400000,72,8.400000,7.600000,194.100000,158,86.700000,,82,25.900000,10.600000,,0.600000,24,3.400000,3.300000,0.100000,2.100000,3.400000,6.200000,4.400000,6.900000,1.500000,7.600000,5.300000,4.600000,0.600000,0,3.300000,6.300000,46.300000,,6.200000,4.700000,41.400000,1.200000,830
2022/02/04 11:00:00+00,4.800000,82.900000,44.300000,60,118.700000,74.200000,7.600000,5.400000,153.100000,159.700000,65.300000,3.200000,46.600000,16.900000,9.500000,,1,26,3.300000,3.600000,1,2.500000,2.800000,5.100000,4.400000,5.500000,3,6.700000,4.700000,4.200000,0.600000,0.100000,3.200000,4.500000,64.200000,,4.300000,5.600000,21,5.400000,831
