,PA01H:NO,RN6:NO,SOULT:NO,OPERA:NO,RN20:NO,BP_EST:NO,ARG:NO,AUB:NO,AUT:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,PA15L:NO,OBJECTID
2023/01/25 00:00:00+00,1.600000,13.900000,1.800000,21.600000,14.400000,42.700000,1.400000,2,,15.600000,29.500000,2.300000,10.300000,13.700000,2.300000,1.200000,0.400000,1.600000,1.200000,2.100000,0,1.100000,1.500000,1.100000,2.500000,4.500000,2.200000,3.400000,0.500000,3.900000,0,0.300000,0.900000,1.400000,4.700000,0.600000,2.500000,0.800000,10.700000,0.800000,580
2023/01/25 01:00:00+00,1.500000,8.500000,2.200000,12.200000,9.100000,27.200000,0,0.800000,,8.400000,27.500000,4.700000,7.200000,11.400000,2.900000,0.600000,0.500000,1.700000,1.300000,1.400000,0,1.100000,1,1.400000,1.100000,3.200000,0.500000,3.600000,1,3,0.100000,0.500000,0.700000,1.200000,9.400000,0.500000,2.500000,0.700000,9.500000,0.600000,581
2023/01/25 02:00:00+00,1.100000,6.100000,3,4.400000,16.900000,16.900000,0,1.800000,,5.700000,17.700000,0.900000,9.700000,8.500000,2.500000,0.700000,0.500000,1.200000,1.100000,1.300000,0,1,1.100000,1.700000,1.200000,3.400000,0.400000,3.100000,0.600000,2.400000,0.100000,0.700000,0.600000,0.900000,6.900000,1.400000,1,0.400000,6.600000,0.600000,582
2023/01/25 03:00:00+00,1.200000,9.900000,1.500000,3.300000,20.100000,18.600000,0,1.500000,,9.100000,15.400000,1.200000,4.400000,6.400000,0.700000,0.500000,0.300000,0.900000,1.100000,1.500000,0,1.200000,1.500000,1.600000,1.100000,3.200000,0.200000,2.500000,0.200000,2.800000,0.100000,0.500000,0.600000,1.200000,1.700000,1.500000,1,0.600000,3.800000,0.500000,583
2023/01/25 04:00:00+00,1.300000,11.200000,2.200000,5.700000,50.300000,21.800000,0.200000,1.700000,,25.200000,21.900000,0.500000,4.100000,7.500000,1.900000,0.300000,0.500000,0.900000,1,1.800000,0,1.200000,1.700000,1.800000,1.200000,3.600000,0.400000,3,0.400000,4,0.100000,0.600000,0.800000,0.700000,1.100000,1.800000,1.400000,0.600000,4.700000,0.600000,584
2023/01/25 05:00:00+00,1.800000,33.300000,3.500000,14.900000,93.200000,32.600000,0.500000,0.900000,,57.800000,88.700000,0.900000,9.200000,21.700000,2.300000,1.700000,0.400000,1.400000,1.100000,3.400000,1.500000,1.100000,4.900000,1.800000,1.700000,4.700000,0.800000,3.300000,0.700000,6.800000,0.100000,0.700000,1.700000,2.100000,1.900000,2.600000,2.400000,2.100000,8.700000,1.100000,585
2023/01/25 06:00:00+00,2.600000,46.100000,8.500000,33.500000,103,66.500000,1,2.200000,,99,133.100000,1.800000,16.900000,43.200000,4.900000,3.700000,0.300000,2.400000,1.500000,7.600000,1.300000,1.400000,9.600000,2.400000,2,5.400000,2.400000,4,1.400000,12.200000,0.100000,0.400000,,3.200000,5.500000,3,4.100000,4.200000,13.500000,1.600000,586
2023/01/25 07:00:00+00,2.500000,69.900000,21,42.800000,79.900000,98.300000,0.600000,1.500000,,101.900000,87.900000,2.600000,26.600000,82.700000,4,6.100000,0.600000,4.300000,2,5,1.200000,2.400000,8,5,2.800000,5.200000,4.500000,3.800000,1.800000,12.200000,0.200000,0.200000,1.900000,2.300000,23.700000,3.600000,5.300000,5.500000,34.100000,1.800000,587
2023/01/25 08:00:00+00,2.400000,88.800000,26.800000,42.300000,91.400000,113.900000,0.800000,2.800000,,92.100000,103.300000,5.700000,41.300000,97.700000,3.100000,9.400000,,3.600000,2.300000,4.500000,11.800000,4.400000,10.700000,7.700000,2.400000,4.900000,6.600000,6.100000,1.900000,9.800000,0.300000,0.300000,2.100000,2.800000,10.800000,3.100000,7.600000,5,34.900000,2.700000,588
2023/01/25 09:00:00+00,2.700000,64.800000,22.500000,59.400000,77.400000,174.800000,1.400000,2.500000,,95.400000,94.500000,6.800000,40.600000,89.400000,2.800000,10.800000,,10.700000,3.900000,6.200000,0.900000,3.600000,7.600000,3.800000,2.900000,7.100000,9.200000,9.500000,3.300000,11,0.200000,0.500000,2.700000,2.100000,20.600000,3.700000,6.200000,5.800000,33.600000,4.700000,589
2023/01/25 10:00:00+00,3.900000,51.900000,28.200000,44.400000,116.400000,107.700000,0.800000,3.900000,,56.100000,125.600000,4.400000,28.100000,69,2.800000,9.300000,,11,4.200000,8.200000,0.700000,2.500000,13.200000,2.400000,4.400000,7.500000,19.800000,9.200000,4.200000,11.300000,0.200000,0.900000,2.500000,2.500000,12.100000,4.300000,4.100000,7.700000,20.200000,6.400000,590
2023/01/25 11:00:00+00,4.500000,57.700000,26.500000,46.300000,109.100000,107.100000,3.200000,2,,49,94.100000,2.900000,40.600000,55.900000,4,7.100000,,17.400000,4.300000,5.800000,1.200000,3.500000,9.900000,2.200000,4.500000,6.900000,13.600000,8.200000,4.300000,12.300000,0.300000,1.200000,2.800000,2.800000,11.800000,3.900000,6.300000,9,,5.200000,591
2023/01/25 12:00:00+00,4.500000,48.200000,22.500000,67.100000,113.900000,77.400000,4,3.100000,,64.700000,99.100000,3.300000,23.500000,61.500000,6,6.500000,,13,4.800000,7.100000,4.200000,3.500000,11.200000,4.300000,,10.600000,13.600000,7.600000,4.600000,11.700000,0.300000,1.200000,3.700000,3.800000,15.600000,3.900000,4.700000,9.600000,18.200000,6.500000,592
2023/01/25 13:00:00+00,5.700000,51,21.800000,51.500000,157.300000,87.700000,3.400000,3.900000,,67.700000,99.400000,4.600000,40.400000,46.700000,5.100000,7.400000,,23,7.100000,4.900000,2.900000,3.900000,13.100000,2.600000,6.300000,8.800000,15.400000,7.900000,4.600000,12.200000,0.600000,0.900000,4.500000,5.700000,15.800000,5.400000,3.600000,8.900000,14.800000,8,593
2023/01/25 14:00:00+00,7.500000,63,30.500000,63.500000,142.200000,59.800000,4.600000,6,,78.300000,94.200000,5.200000,,51.700000,4.900000,10.200000,,26.800000,10.400000,7,2.900000,5.200000,18.300000,2.500000,8.300000,11.200000,16.700000,10.400000,5.800000,11.800000,0.400000,1.100000,5.700000,5.500000,18.400000,5.700000,7,13.200000,,10,594
2023/01/25 15:00:00+00,9,77.200000,23.700000,77.200000,139.900000,111.800000,5,7.100000,,61.900000,99.700000,3.800000,,55.900000,6.400000,8.900000,,25.900000,11.200000,8.900000,7,5.500000,12.600000,2.500000,9.900000,11.100000,14.100000,16.600000,9.400000,15.700000,0.400000,1.500000,6.200000,8.300000,34.100000,8.200000,6.800000,13.200000,36.200000,10.100000,595
2023/01/25 16:00:00+00,9.500000,68.500000,35.500000,61.900000,136.100000,51.400000,3.800000,5.900000,110.900000,66.300000,102.900000,4.100000,35.400000,71.800000,7.500000,8.300000,,36.200000,14.400000,8.400000,4,5.700000,10.900000,3.200000,15.700000,9.700000,13.200000,17.300000,15.600000,18.300000,0.300000,1.500000,4.800000,7.400000,35.400000,6,8.100000,16.700000,21.600000,8.900000,596
2023/01/25 17:00:00+00,5.300000,61.800000,43.900000,58.400000,127.700000,16.600000,3.500000,6,123.300000,51.800000,81.100000,2.900000,22.500000,60.700000,7.300000,6.300000,,29.600000,17.600000,4.400000,2.200000,8.100000,9,8.400000,16.900000,10.200000,12.500000,13.100000,10.500000,16.600000,0.200000,1.100000,5.900000,6.800000,20.700000,7.500000,4.600000,14.600000,24.500000,6.700000,597
2023/01/25 18:00:00+00,3.900000,49.700000,28.700000,56.900000,132.700000,28.300000,2.700000,3.900000,79.200000,40.600000,78.700000,4.400000,32.300000,61.100000,6,3.600000,,13.500000,19.600000,4,1.400000,5.600000,21.500000,14.300000,15.300000,7.500000,12.800000,11.900000,5.500000,10.500000,0.700000,2.200000,5.400000,5.600000,15,4.900000,4.200000,6.400000,22,4.800000,598
2023/01/25 19:00:00+00,3.100000,44.700000,13.100000,59.300000,90,9.200000,2.400000,4.600000,64,35.500000,74.300000,1.200000,23,51.900000,3.500000,4.600000,,19.900000,7.700000,5.600000,1,3.800000,11.100000,12,6.800000,6.200000,9.800000,6.300000,5.100000,11.300000,5.600000,1.500000,4.800000,3.300000,13,4.400000,3.300000,5,23.100000,3,599
2023/01/25 20:00:00+00,2.100000,60.500000,9.900000,34.200000,63.500000,103.800000,2.200000,2.900000,57.100000,66.900000,68.400000,1.500000,26.700000,56.500000,2.200000,4.800000,,4.500000,2.900000,6.300000,1.400000,2.400000,13.400000,6.600000,8,6.100000,10.400000,3.800000,1.800000,7,5.200000,1,2.800000,2.300000,15.500000,1.500000,3.700000,2.500000,53.300000,1.900000,600
2023/01/25 21:00:00+00,1.300000,45.200000,10.700000,23,60.200000,33.100000,5.100000,5.200000,62.600000,33.400000,60.400000,1.100000,12.800000,23.600000,3.200000,4.500000,,5.100000,2.500000,4.100000,0.100000,2,9.900000,3.500000,6.200000,4.900000,3.700000,4.900000,1,4.800000,3.700000,0.300000,1.600000,1.200000,11.400000,1.900000,1.700000,5.500000,37.100000,1.600000,601
2023/01/25 22:00:00+00,1.300000,34.300000,5.800000,29,41.500000,27.600000,2.100000,7,65,51.200000,50.800000,1.100000,4.900000,19.600000,2.900000,2.700000,,10.700000,2.900000,3.400000,0.600000,1.500000,5.300000,1.800000,5.800000,5.300000,6.500000,3.700000,1.700000,9.800000,2.400000,0.100000,2.100000,1.200000,8,1.100000,2.300000,2.600000,17,1.400000,602
2023/01/25 23:00:00+00,1.100000,16.500000,2.900000,19.800000,28.100000,36.700000,2.600000,2.400000,62.900000,35.600000,62.500000,1.700000,18.800000,27.500000,2.400000,0.800000,,8.900000,2.300000,2.300000,2,1.400000,4.400000,3.700000,2.500000,4.100000,2.900000,5,1,7.500000,0.800000,0.300000,2.200000,2.100000,7.600000,0.700000,7.800000,1.100000,29.900000,0.800000,603
2023/01/26 00:00:00+00,1.300000,15.300000,3.500000,29.500000,33.200000,24.800000,1.700000,1.600000,53,34.700000,59.200000,1.100000,10.100000,22.400000,1.100000,1.600000,,13.400000,1.400000,1.600000,1,0.600000,3.600000,3.200000,4.200000,6.200000,2.500000,3.600000,0.500000,7.200000,0.300000,0.300000,3.600000,1.500000,19.200000,0.100000,5,0.200000,11.500000,0.600000,604
2023/01/26 01:00:00+00,1.800000,9.600000,3.500000,14.100000,29.600000,58.300000,0.600000,4.200000,39.300000,23.100000,44.400000,4,8.700000,16.800000,2.100000,2.200000,,9.400000,1.400000,2.800000,0.700000,0.500000,2.200000,0.900000,4,6.300000,1.100000,4.200000,1.400000,4.600000,0.200000,0.200000,2.600000,2.600000,22.800000,0.100000,4.200000,1,22.400000,0.600000,605
2023/01/26 02:00:00+00,2.900000,13.100000,2.200000,7.600000,43.600000,45.500000,1,3.700000,35.600000,24.900000,24.500000,8.200000,11.400000,10.100000,2,0.900000,,5.600000,2.200000,4.700000,4.700000,0.400000,2.500000,0.900000,3.200000,6.200000,1.700000,5.200000,2.900000,5.200000,0.200000,0.200000,5.900000,1.500000,16.100000,0,5.900000,0.600000,17.900000,0.900000,606
2023/01/26 03:00:00+00,3.500000,8.400000,1.900000,8.900000,58,64.400000,2.300000,10.100000,34.200000,33.400000,22.100000,3.300000,13.300000,7.700000,1,0.200000,,6.800000,2.200000,10.900000,8.700000,0.400000,2.900000,1,4.300000,5.700000,1.100000,5.600000,2.400000,7.700000,0.200000,0.100000,10.200000,1.900000,16.800000,0,3.400000,1.400000,37.600000,1,607
2023/01/26 04:00:00+00,3,15.600000,3.100000,6.400000,89.300000,103.400000,14.700000,9.600000,41.300000,40,36.800000,2.300000,12.300000,10.900000,2.200000,0.700000,,8.300000,2.100000,15.100000,4.900000,0.500000,3.300000,0.700000,4,6.800000,1.600000,8.700000,4.300000,7.600000,0.200000,0.300000,10.700000,1.100000,16.200000,0,2.300000,3.400000,42,0.900000,608
2023/01/26 05:00:00+00,2.700000,30,10.200000,13.100000,173,127.500000,11.100000,13.900000,119.300000,88.700000,123.600000,7.800000,16.300000,20.300000,2.200000,1.700000,,10.200000,2.900000,29,11.800000,0.600000,13.900000,1,4.700000,7,1,11.900000,6.100000,6.500000,0.200000,0.100000,14.300000,2.100000,30.700000,0.100000,3.500000,1.900000,58.100000,1,609
2023/01/26 06:00:00+00,11.400000,31.800000,18.700000,36.200000,234,181.600000,9.900000,40.700000,169.700000,98.500000,140.400000,18.600000,26.700000,51.500000,4.500000,7.800000,,23.700000,4.400000,36.600000,12.200000,3,9.600000,6.700000,7.600000,14.200000,2.300000,17,12.400000,15.100000,0.300000,0.500000,24.700000,1.700000,66.100000,2.100000,8.800000,9,36.400000,3,610
2023/01/26 07:00:00+00,30.100000,57.200000,47.300000,99.900000,122.600000,235.200000,32.400000,43.300000,173.800000,128.800000,179.200000,28.600000,81.100000,82,11.500000,40.700000,,48.900000,13.700000,44.500000,21.600000,6.400000,22.500000,4.300000,9.800000,39.300000,10.100000,35,28,35.400000,0.400000,0.700000,30.700000,8,103.400000,11.600000,21.800000,18.400000,84.500000,7.500000,611
2023/01/26 08:00:00+00,43.500000,70.300000,84.100000,98.400000,253.900000,227.500000,40.100000,42.200000,207,143.800000,182.400000,46.500000,136.700000,132.300000,23.700000,53.400000,,75.400000,33.400000,52,33.600000,12.800000,32.400000,10.700000,18.200000,71,35.900000,48.700000,45.500000,76.800000,0.700000,1.100000,36.800000,24,91.500000,20.900000,24.300000,37.100000,126.200000,18.700000,612
2023/01/26 09:00:00+00,60.900000,70.800000,63.700000,128,158.700000,228.500000,38,57.400000,138.500000,165.400000,200.200000,41.900000,140.400000,124.700000,33.700000,54.900000,,77.400000,25,61.700000,50.700000,10.300000,19.900000,15.600000,34.600000,75.200000,67.800000,51.900000,78.300000,87.700000,1.700000,2.500000,45.900000,14.400000,99.600000,33.900000,32.800000,48.300000,121.700000,52,613
2023/01/26 10:00:00+00,64.800000,88.300000,92.100000,128,167.300000,144.400000,37.400000,63.900000,136.800000,129.700000,,49.400000,120.600000,149.300000,32.200000,58,,82.700000,25.200000,60,40.200000,7.300000,23.600000,10.600000,34.700000,70.100000,84,70,60.700000,85.700000,2.500000,2.800000,45.500000,18.200000,81.300000,34.900000,35.100000,62.900000,79.600000,65.300000,614
2023/01/26 11:00:00+00,41.300000,76.500000,79,109.200000,196.100000,116.300000,33.300000,58.200000,128,107.100000,136.200000,50.500000,85.400000,141.200000,40.600000,48.900000,,54.500000,37.500000,40,23.600000,11.300000,19.800000,11.400000,51,51.100000,67.100000,71.500000,62.800000,65.100000,3.100000,4.600000,33.200000,41,73.200000,24.200000,59.900000,83.300000,79.100000,55.500000,615
2023/01/26 12:00:00+00,39.100000,64.700000,61.200000,92.900000,194.900000,129.100000,16,37.500000,156.500000,87.100000,114.300000,35.500000,66.400000,104.800000,52.900000,40.100000,,51.700000,62.900000,36.900000,15.100000,24.500000,24.400000,5.600000,63.700000,40.500000,51.100000,50.500000,48.100000,56.800000,2.100000,5.900000,27.100000,36.600000,60.700000,24.500000,41.800000,63.100000,56.700000,49.800000,616
2023/01/26 13:00:00+00,21.600000,62.700000,46.200000,58.700000,180.600000,94.800000,10.200000,16.800000,109.100000,90.700000,80.300000,21.300000,46.300000,89.300000,34.800000,23.800000,,28.100000,67.900000,21.900000,10.900000,29,17.200000,5.600000,53.300000,24.800000,34.100000,31.800000,30.600000,33.400000,1.800000,5,13.500000,17.400000,24.900000,19.500000,22.300000,33.100000,36.500000,31.200000,617
2023/01/26 14:00:00+00,20.500000,70.800000,39.400000,70.800000,147.700000,95.500000,10.800000,13.600000,95.200000,103.200000,65.500000,20.900000,50.300000,63,26.100000,23,,31.200000,44.400000,29.600000,8.500000,11.500000,14.400000,9.600000,28.500000,24.100000,30.500000,24,18,33.900000,1.800000,5.900000,17.900000,14.900000,26.900000,16.200000,19.900000,26.900000,39,19.100000,618
2023/01/26 15:00:00+00,18.400000,82.800000,40.900000,79.500000,104.300000,126.700000,9,14.300000,95.600000,99.400000,,20.900000,55.400000,66,23.600000,21.900000,,25.800000,25.100000,22.800000,7.700000,11,7.800000,9,20,23.500000,35.800000,21.400000,16.200000,30.100000,1.600000,5.100000,14.300000,11.200000,32.800000,12.500000,19.800000,20.800000,67.800000,22.400000,619
2023/01/26 16:00:00+00,18.200000,103.300000,54.700000,86.700000,77.200000,114.400000,5.700000,16.300000,103.200000,119.400000,82.100000,22.800000,,101.700000,13.600000,22.800000,,24.400000,16.600000,23.300000,6.200000,9.200000,9,13.300000,14.500000,28.100000,34.600000,20.800000,12.500000,30,1.200000,2.400000,14.500000,12.900000,28.600000,11.700000,21.500000,23.600000,63.600000,20.400000,620
2023/01/26 17:00:00+00,13.300000,125.600000,68.600000,97.800000,87.900000,97.800000,2.600000,15.200000,87.200000,123.600000,72.800000,17.400000,,93,18.300000,9.800000,,18.200000,11.600000,8.700000,4,7.700000,8.500000,12,15,19,29.500000,19,12.300000,25.300000,1.500000,1,10.400000,8.100000,29.400000,6.700000,20,20.900000,54.900000,11.500000,621
2023/01/26 18:00:00+00,4.300000,85.600000,44.100000,50.100000,63.100000,78.500000,1.500000,3.100000,49.700000,59.800000,63.300000,7.100000,35,85.700000,5.400000,3.800000,,4.700000,7.800000,2.400000,1.300000,3.400000,19.500000,9,7,4.200000,8.100000,8.800000,4.200000,10.700000,0.400000,0.200000,2.300000,2.500000,8.100000,2.700000,10,8.100000,32.800000,2.200000,622
2023/01/26 19:00:00+00,1.200000,51.300000,8.800000,43.500000,62.400000,73,1.100000,1.600000,42.900000,49.600000,37.400000,1.800000,31,43,4.500000,3.100000,,2,2.400000,1.800000,0,2.300000,14.600000,3,4.100000,2.900000,6.400000,3.400000,1.300000,5.100000,0.300000,0.200000,1.400000,2.100000,4.500000,0.700000,5.300000,3.100000,26.800000,1.200000,623
2023/01/26 20:00:00+00,1.500000,37.800000,11.300000,32.800000,26.600000,60.700000,1.300000,1.300000,45.500000,54.900000,43,1.500000,23.100000,35.700000,3,2.800000,,3.700000,1.600000,2.900000,0.500000,1.400000,6.800000,1.400000,2.100000,4.300000,13.200000,3.100000,1.100000,10.300000,0.100000,0.300000,1.200000,8.200000,4.600000,2.100000,3.900000,2.900000,9.900000,1.100000,624
2023/01/26 21:00:00+00,1.500000,33.300000,6.600000,21.400000,39.800000,21.700000,3.700000,2.300000,61,40.200000,36.600000,2.800000,13.300000,31.500000,7.200000,5.100000,,5.400000,1.100000,2.400000,0,1.500000,3.800000,1.200000,1.800000,3.500000,6.200000,4.600000,1.300000,9.700000,0.100000,0.700000,1.400000,14.300000,4.700000,1.800000,6.100000,1.500000,9,1.200000,625
2023/01/26 22:00:00+00,1,21.600000,5,17,35.500000,22.900000,0.200000,1,36.800000,21.400000,24.100000,1,11,22.100000,5.500000,4.400000,,5.300000,1.400000,0.900000,0,1.800000,2.800000,1.500000,1.600000,2.900000,3.900000,3.500000,1.400000,5.400000,0.100000,0.300000,0.900000,1.300000,2.900000,1.100000,2.400000,0.900000,4.500000,1.100000,626
2023/01/26 23:00:00+00,1,10.400000,2.200000,13.700000,19.700000,22.400000,0,0.600000,31.600000,17.600000,30.500000,0.500000,6.600000,26.600000,3.100000,2.200000,,6.600000,1.700000,0.600000,0,0.800000,2.500000,2.100000,2,2.100000,2.400000,2.600000,1.300000,4,0.100000,0.300000,0.700000,0.700000,2.500000,0.700000,1.600000,1.500000,3.400000,0.900000,627
2023/01/27 00:00:00+00,1,9.200000,1.500000,13.600000,18.100000,14,0,0.900000,27.900000,15.900000,22.800000,0.300000,8,17.900000,1.800000,1,,2.200000,1.200000,0.500000,0,0.500000,1.200000,1.200000,1.200000,1.700000,0.900000,3,0.800000,3.700000,0.100000,0.300000,0.400000,0.500000,1.900000,0.600000,1.200000,1.300000,2.400000,0.700000,628
2023/01/27 01:00:00+00,0.900000,6.500000,0.800000,11.400000,16.100000,9.800000,0,0.500000,19.600000,12.700000,12.800000,0.400000,3.100000,13.700000,2.100000,0.700000,,1.700000,1.200000,0.500000,0,0.600000,1.200000,1.100000,1.100000,1.800000,0.400000,2.900000,0.700000,2.600000,0.100000,0.300000,0.400000,0.400000,0.900000,0.400000,1.400000,0.300000,1,0.500000,629
2023/01/27 02:00:00+00,0.800000,4.400000,1,4.400000,11.800000,6.700000,0,,20.700000,6.600000,8.100000,0.300000,4.300000,10.700000,0.900000,1.600000,,1.300000,1,0.500000,0,0.500000,1.100000,0.900000,1.100000,1.600000,0.200000,1.600000,0.600000,2.100000,0,0.200000,0.400000,0.900000,0.600000,0.300000,0.600000,0.100000,0.600000,0.300000,630
2023/01/27 03:00:00+00,0.900000,3.400000,0.700000,3.400000,19.500000,7.800000,0,,12,6.900000,8.200000,0.100000,1.900000,5.400000,1.300000,1.700000,,0.700000,0.700000,0.400000,0,0.500000,1,1,1,1.500000,0.100000,1.800000,0.200000,2.300000,0,0.100000,0.300000,1,0.600000,0.300000,1,0.100000,0.200000,0.500000,631
2023/01/27 04:00:00+00,0.800000,7.700000,3.200000,4.700000,31.400000,19.400000,0.200000,,24.400000,13.500000,16.800000,0.100000,1.500000,8.400000,0.500000,0.300000,,0.600000,0.700000,0.500000,0,0.500000,1.100000,0.900000,1.100000,1.500000,0.100000,2.400000,0.300000,2.700000,0,0.200000,0.400000,0.300000,0.500000,0.200000,0.600000,0.200000,1.600000,0.400000,632
2023/01/27 05:00:00+00,0.700000,15.400000,2.300000,11,57.800000,49.200000,0,,59.100000,46.100000,28.100000,0.200000,6,14,0.500000,0.400000,,1.200000,0.900000,0.500000,0,1,1.600000,0.900000,1.100000,1.600000,0.300000,2,0.300000,3,0,0.200000,0.400000,0.600000,0.900000,0,0.800000,0.600000,4.700000,0.500000,633
2023/01/27 06:00:00+00,1,29.500000,3.700000,20.400000,85.500000,54.100000,0.300000,,85.200000,72.300000,55.500000,0.300000,9.600000,36.400000,1.600000,1.700000,,2.400000,0.800000,1.800000,0,0.900000,4.400000,1.400000,1.400000,2.400000,0.600000,2.900000,0.400000,6.300000,0,0.200000,0.400000,0.800000,3.100000,0.500000,1,2,7.100000,0.600000,634
2023/01/27 07:00:00+00,1.500000,42.600000,12.100000,31.300000,99,63.100000,2.400000,,74.100000,60.500000,48.200000,0.600000,39.600000,65.500000,3.700000,6,,4,1.500000,2.300000,0,1.200000,6.100000,2,2,2.900000,14.300000,3.800000,1.100000,7.700000,0.200000,0.300000,0.600000,1.800000,12.700000,1.800000,2.700000,3.400000,20.400000,0.700000,635
2023/01/27 08:00:00+00,1.700000,79.500000,17,41.100000,80.300000,61.800000,1.300000,,71.100000,66.700000,63,1.200000,29,78.800000,4.200000,10,,5.600000,1.800000,3,1.400000,1.500000,17.200000,2.400000,2.500000,3.700000,10.400000,4.800000,1,5.700000,0.100000,0.200000,0.900000,1.600000,14.900000,1.700000,4.100000,4.100000,22,1.500000,636
2023/01/27 09:00:00+00,2.300000,74.400000,10.100000,45.200000,50.400000,89.600000,1,,59.200000,47.200000,44.300000,2.800000,34.100000,77.200000,1.900000,11.900000,,5.500000,2.500000,2.200000,1,1.700000,11.900000,1.700000,2.100000,3.600000,7,3.800000,1.300000,6.400000,0,0.300000,2.200000,1.800000,12.800000,1.600000,3.500000,3.800000,34.300000,2.600000,637
2023/01/27 10:00:00+00,2.400000,49.100000,4.600000,53.900000,59,104.300000,0.900000,,84.100000,39.500000,52.300000,3.100000,35.100000,48.200000,1,8.400000,,5.500000,2.600000,3.300000,2.300000,1.700000,7,1.300000,2.100000,3.900000,6.700000,3.600000,1.200000,6.900000,0.100000,0.300000,1.900000,1.800000,15,0.600000,3.300000,3.600000,27.500000,1.800000,638
2023/01/27 11:00:00+00,2.700000,48.700000,8.700000,48.500000,54,89.800000,0.700000,0,73.800000,43.700000,55.600000,2.200000,32.900000,45.400000,1.900000,9.300000,,4.200000,2.500000,2.600000,1.400000,1.700000,5.400000,1.400000,8.300000,4,3.400000,4.600000,2.100000,5.600000,0.100000,0.400000,2,2.300000,13.200000,0.700000,4.100000,3.300000,21.500000,1.800000,639
2023/01/27 12:00:00+00,2.300000,46.700000,6.900000,43.500000,53.500000,81.300000,0.700000,0,57.700000,45.900000,41.200000,1.900000,24.300000,40,1.500000,5.100000,,3.500000,2.100000,2.600000,0.300000,1.800000,6.300000,1.700000,2.500000,3.500000,5.200000,4.200000,1.700000,5.100000,0.100000,0.300000,2.300000,1.900000,10,0.600000,4.200000,3.200000,24.700000,2.200000,640
2023/01/27 13:00:00+00,3.300000,43.700000,9.700000,39.600000,53,76.900000,1.900000,0,57.700000,45.800000,44.400000,1.700000,33.300000,37.400000,1.800000,5.700000,,3.500000,2,3.600000,0.200000,1.800000,7.500000,1.700000,2,3.300000,4,4.200000,1.400000,5.300000,0.100000,0.200000,2.500000,1.800000,6.400000,1.400000,4.400000,3.600000,23.800000,1.800000,641
2023/01/27 14:00:00+00,2.100000,53.700000,,40.800000,,88.300000,1.100000,0,73.700000,57.700000,38.200000,2,22,45.200000,1.700000,9.500000,,3.500000,2.600000,4.300000,0,2.100000,8,1.800000,3.500000,4.200000,4.800000,3.700000,1.500000,6,0.100000,0.500000,2.600000,1.500000,7.500000,2.100000,4.700000,3.200000,27.200000,2.100000,642
2023/01/27 15:00:00+00,1.900000,60.800000,,37.900000,74.500000,106.500000,0.800000,0,70.100000,59.200000,42.900000,1.700000,43,29.700000,1.700000,5.900000,,3.200000,2,3.100000,0.100000,2.900000,7.200000,1.600000,4.700000,3.600000,2.900000,3.700000,1.600000,5.900000,0.100000,0.200000,2.700000,1.400000,8.600000,0.800000,4.600000,2,30.300000,1.700000,643
2023/01/27 16:00:00+00,1.900000,78.700000,11.400000,43.800000,56.700000,100.800000,1,0,47.400000,56,38.800000,1.800000,17.600000,47.200000,2.300000,4.500000,,2.500000,2.300000,3.400000,0.200000,2.900000,12.500000,2.700000,4.500000,3,5.500000,4.400000,1.600000,4.900000,0.100000,0.200000,2.400000,1.600000,10.600000,0.800000,5.100000,4.300000,36.900000,2.100000,644
2023/01/27 17:00:00+00,2.800000,65.100000,7.900000,51.300000,59.800000,68.500000,1.400000,0,41.200000,64,49.300000,1.400000,16.500000,69.300000,1.400000,5.200000,,2.800000,2,2.500000,0.100000,3,11.400000,2.300000,4.300000,5.900000,5.800000,3.100000,1.500000,5.700000,0.100000,0,2,1.200000,13,0.800000,4.800000,4.300000,28.400000,1.300000,645
2023/01/27 18:00:00+00,1.300000,61.300000,9,44.700000,55.800000,58.800000,1.300000,0,36.600000,56.600000,43.600000,1,30,49.600000,1.500000,6.300000,,2.500000,1.900000,3.600000,0.500000,2.200000,10.100000,2.300000,10.900000,4.100000,8.500000,4.100000,1.400000,7,0,0.100000,2.100000,1.500000,5.100000,2.100000,4.600000,4.100000,22.400000,1.100000,646
2023/01/27 19:00:00+00,1.600000,48.500000,14.900000,33.900000,59.900000,48.400000,1,0,44.400000,45.400000,43,0.700000,19.900000,49.100000,2.300000,5.300000,,3.400000,1.600000,3.700000,0.500000,2.200000,9.400000,2.600000,2.600000,4.200000,11.200000,4.100000,1.400000,7.500000,0,0.300000,2.300000,1.900000,5,1.900000,3.900000,4.300000,12.800000,1.200000,647
