,PA15L:NO,ARG:NO,OPERA:NO,RN20:NO,BP_EST:NO,AUB:NO,A1:NO,BASCH:NO,BOB:NO,BONAP:NO,CELES:NO,CHAMP:NO,DEF:NO,EIFF3:NO,ELYS:NO,EVRY:NO,GEN:NO,GON:NO,IVRY:NO,LOGNES:NO,MANT:NO,MELUN:NO,MONTG:NO,NEUIL:NO,PA07:NO,PA12:NO,PA13:NO,PA18:NO,RUR-SE:NO,RUR-SO:NO,STDEN:NO,TREMB:NO,HAUS:NO,VERS:NO,VILLEM:NO,VITRY:NO,RN2:NO,RN6:NO,AUT:NO,SOULT:NO,OBJECTID
,Paris stade Lenglen,ARGENTEUIL,Place de l'Opéra,RN20 Montlhéry,Boulevard Périphérique Est,AUBERVILLIERS,Autoroute A1 - Saint-Denis,Place Victor Basch,BOBIGNY,Rue Bonaparte,Quai des Célestins,CHAMPIGNY-SUR-MARNE,LA DEFENSE,Tour Eiffel 3ème étage,Avenue des Champs Elysées,EVRY,GENNEVILLIERS,GONESSE,IVRY-SUR-SEINE,LOGNES,MANTES-LA-JOLIE,MELUN,MONTGERON,NEUILLY-SUR-SEINE,PARIS 7ème,PARIS 12ème,PARIS 13ème,PARIS 18ème,Zone rurale Sud-Est - Forêt de Fontainebleau,Zone rurale Sud-Ouest - Forêt de Rambouillet,SAINT-DENIS,TREMBLAY-EN-FRANCE,Boulevard Haussmann,VERSAILLES,VILLEMOMBLE,VITRY-SUR-SEINE,Route nationale 2 - PANTIN,Route Nationale 6 - MELUN,Boulevard Péripherique Auteuil,Boulevard Soult,0
,PA15L,ARG,OPERA,RN20,BP_EST,AUB,A1,BASCH,BOB,BONAP,CELES,CHAMP,DEF,EIFF3,ELYS,EVRY,GEN,GON,IVRY,LOGNES,MANT,MELUN,MONTG,NEUIL,PA07,PA12,PA13,PA18,RUR-SE,RUR-SO,STDEN,TREMB,HAUS,VERS,VILLEM,VITRY,RN2,RN6,AUT,SOULT,1
,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,monoxyde d azote,2
,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,3
,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,microg/m3,4
2018/07/30 22:00:00+00,0,2,47,55,58,2,77,,0,21,22,1,,0,25,0,0,,,1,2,1,0,1,0,0,0,0,0,0,0,0,29,0,1,0,20,28,42,8,5066
2018/07/30 23:00:00+00,0,1,24,12,15,1,103,,0,21,14,0,,0,11,0,0,,,1,2,1,0,1,0,0,0,0,0,0,0,1,16,0,1,0,11,27,40,7,5067
2018/07/31 00:00:00+00,0,1,18,12,2,1,92,,0,5,5,0,,0,10,0,0,,,0,1,1,0,1,,0,0,0,0,0,0,1,10,0,0,0,2,10,55,6,5068
2018/07/31 01:00:00+00,0,1,14,15,2,0,88,,0,8,5,1,,0,6,0,0,,,0,0,1,0,1,,0,0,0,0,0,0,1,7,0,0,0,3,8,39,5,5069
2018/07/31 02:00:00+00,0,3,7,46,10,0,101,,0,1,3,0,,0,4,0,0,,,0,0,1,0,1,,0,0,0,0,0,0,0,6,0,0,0,4,5,24,3,5070
2018/07/31 03:00:00+00,0,2,7,78,10,0,108,,0,5,2,0,,0,2,0,0,,,0,0,1,0,1,0,0,0,0,0,0,0,2,3,0,0,0,3,8,26,4,5071
2018/07/31 04:00:00+00,0,2,10,113,19,1,145,,0,5,6,0,,0,5,1,0,,,0,1,1,0,1,0,0,0,0,0,0,1,1,7,0,0,0,5,42,71,6,5072
2018/07/31 05:00:00+00,0,5,46,215,17,1,208,,0,11,14,0,,0,12,4,0,,,3,2,2,5,1,1,1,0,0,0,0,1,11,22,0,0,0,7,42,136,11,5073
2018/07/31 06:00:00+00,1,5,70,191,52,4,201,,1,18,38,2,,0,25,5,1,,,1,6,7,3,2,13,3,2,1,0,0,3,5,48,1,1,3,18,74,158,13,5074
2018/07/31 07:00:00+00,2,5,75,135,32,5,199,,3,56,46,4,,2,28,8,2,,,4,3,8,7,3,9,10,4,3,0,0,4,10,46,2,3,5,16,95,106,22,5075
2018/07/31 08:00:00+00,1,4,86,69,23,7,206,,4,41,41,4,,2,30,5,2,,,8,3,5,5,3,4,8,3,4,0,0,3,6,47,2,4,4,18,99,88,17,5076
2018/07/31 09:00:00+00,1,4,89,68,12,4,195,,4,35,22,4,,1,30,4,1,,,6,2,6,3,3,3,5,2,4,0,0,3,4,55,1,3,2,16,82,102,16,5077
2018/07/31 10:00:00+00,1,3,89,69,24,3,203,,3,33,41,2,,1,25,5,1,,,2,1,5,2,2,3,5,2,2,0,0,3,4,47,1,3,2,16,63,,16,5078
2018/07/31 11:00:00+00,0,4,85,70,30,2,233,,2,55,25,3,,1,26,3,0,,,3,2,4,2,2,2,5,1,3,0,,2,4,30,1,2,1,15,71,74,8,5079
2018/07/31 12:00:00+00,1,3,75,63,51,3,194,,2,43,24,2,,1,32,2,0,,,2,3,4,1,1,3,4,1,2,0,,2,3,35,0,1,1,19,45,84,9,5080
2018/07/31 13:00:00+00,0,3,69,88,5,3,182,,1,38,25,2,,0,40,2,0,,,10,2,4,3,2,5,3,2,1,0,0,2,2,50,0,1,2,28,52,104,10,5081
2018/07/31 14:00:00+00,0,3,79,86,30,3,166,,1,27,25,2,,1,26,3,0,,,1,2,3,4,1,3,3,1,1,0,0,3,1,42,,1,1,37,54,81,9,5082
2018/07/31 15:00:00+00,0,4,73,111,74,3,184,,2,45,42,2,,1,31,3,0,,,1,2,3,2,1,2,2,0,1,0,0,2,1,29,,1,1,53,32,83,18,5083
2018/07/31 16:00:00+00,0,3,96,94,45,3,146,,1,37,19,1,,0,46,4,0,,,1,10,3,2,2,1,1,0,1,0,0,3,2,44,1,1,1,51,57,89,14,5084
2018/07/31 17:00:00+00,0,4,88,92,52,2,168,,1,21,36,2,,0,34,4,0,,,2,3,3,3,2,1,2,0,1,0,0,1,1,40,0,1,1,43,53,70,17,5085
2018/07/31 18:00:00+00,0,3,84,69,59,2,157,,1,33,24,1,,1,37,2,0,,,1,2,2,2,1,0,1,0,1,0,0,1,2,47,0,0,2,26,43,70,13,5086
2018/07/31 19:00:00+00,0,3,61,90,23,1,157,,0,32,29,0,,0,25,2,0,,,1,1,2,1,1,2,1,0,1,0,0,1,1,44,0,1,0,25,19,120,14,5087
2018/07/31 20:00:00+00,0,2,48,101,6,1,213,,0,15,43,0,,0,27,1,0,,,0,2,3,1,1,0,0,0,0,0,0,1,1,32,0,0,1,12,26,153,5,5088
2018/07/31 21:00:00+00,0,2,42,77,3,1,228,,0,19,57,0,,0,34,0,1,,,0,5,3,1,1,3,1,0,3,0,0,1,1,21,1,0,2,21,17,162,7,5089
2018/07/31 22:00:00+00,0,1,44,65,3,1,114,,1,24,48,0,,0,36,0,0,,,1,1,1,1,1,7,0,0,5,0,2,1,2,6,0,1,1,18,17,119,7,5090
2018/07/31 23:00:00+00,0,0,23,26,20,1,36,,0,8,39,2,,0,7,0,0,,,1,2,1,2,0,3,0,0,3,0,1,0,1,1,0,0,1,6,16,82,5,5091
2018/08/01 00:00:00+00,0,0,18,37,27,1,20,,0,5,15,0,,0,5,0,0,,,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,10,46,5,5092
2018/08/01 01:00:00+00,0,0,22,22,15,1,16,,0,4,6,0,,0,12,0,0,,,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,2,7,42,4,5093
2018/08/01 02:00:00+00,0,1,6,34,11,1,20,,0,2,6,0,,0,35,0,0,,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,4,37,3,5094
2018/08/01 03:00:00+00,0,3,6,56,22,1,24,,0,1,6,1,,0,12,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,11,83,5,5095
2018/08/01 04:00:00+00,0,5,9,125,27,1,73,,0,1,25,0,,1,2,0,0,,,0,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,8,17,175,5,5096
2018/08/01 05:00:00+00,1,10,37,250,44,2,120,,0,6,81,0,,1,10,0,2,,,0,1,1,1,1,2,1,0,3,0,0,1,5,9,0,1,2,14,36,260,12,5097
2018/08/01 06:00:00+00,4,9,71,278,51,4,138,,1,36,143,3,,3,15,2,8,,,1,3,3,3,2,37,4,2,7,0,0,1,12,21,4,8,5,32,38,223,23,5098
2018/08/01 07:00:00+00,16,9,77,162,89,7,106,,6,58,163,11,,14,45,9,8,,,8,3,6,8,7,28,12,9,9,1,0,6,16,23,5,10,16,22,63,130,34,5099
2018/08/01 08:00:00+00,23,4,82,135,70,9,110,,11,55,151,14,,19,38,13,6,,,12,7,5,15,7,23,18,12,12,1,0,8,9,27,4,12,20,25,46,175,34,5100
2018/08/01 09:00:00+00,16,3,81,124,65,8,101,,12,82,107,13,,12,24,12,6,,,8,2,10,15,7,14,18,12,18,3,0,7,11,56,5,12,19,36,73,208,43,5101
2018/08/01 10:00:00+00,13,,85,144,64,8,102,,10,43,93,14,,11,29,9,6,,,6,2,12,11,6,40,16,13,14,0,1,6,11,40,7,12,17,25,90,156,38,5102
2018/08/01 11:00:00+00,8,,72,122,63,5,83,,5,31,70,5,,6,25,4,6,,,3,2,7,7,5,6,13,7,10,0,0,3,14,43,4,7,9,32,51,172,32,5103
2018/08/01 12:00:00+00,6,2,76,90,46,8,81,,4,30,53,4,,5,20,2,5,1,,1,4,7,7,4,4,9,6,8,0,0,3,8,65,2,5,7,53,58,126,25,5104
2018/08/01 13:00:00+00,3,2,57,114,17,43,86,,4,39,74,3,,5,26,2,,1,,2,2,4,6,2,4,7,3,6,0,0,5,5,27,0,2,5,53,31,150,14,5105
2018/08/01 14:00:00+00,1,1,72,104,76,20,82,,3,34,63,1,,2,25,1,0,1,,1,5,3,3,1,6,5,2,4,0,1,3,3,29,0,2,5,39,65,119,11,5106
2018/08/01 15:00:00+00,0,2,60,101,92,9,84,,2,37,81,1,,0,13,0,1,1,,1,4,2,4,1,4,5,1,2,0,0,2,2,23,1,2,4,51,70,117,10,5107
2018/08/01 16:00:00+00,0,1,67,101,68,2,74,,2,60,84,1,,1,13,1,0,0,,2,5,2,1,1,1,2,1,2,0,0,1,2,43,1,2,1,43,77,74,15,5108
2018/08/01 17:00:00+00,1,0,88,88,75,1,61,,1,46,98,0,,1,10,0,0,0,,1,4,1,1,1,0,1,0,2,0,0,1,2,33,2,2,0,40,80,71,11,5109
2018/08/01 18:00:00+00,1,0,78,63,83,1,48,,1,35,72,1,,1,5,0,0,0,,0,3,0,1,1,2,0,0,2,0,0,2,1,10,2,1,0,15,49,113,13,5110
2018/08/01 19:00:00+00,0,0,52,44,82,1,48,,1,30,65,0,,1,3,0,0,0,,0,3,1,1,1,5,0,0,1,0,0,1,1,4,1,1,0,10,39,113,7,5111
2018/08/01 20:00:00+00,0,0,39,95,115,1,61,,1,15,56,0,,0,1,0,0,0,,0,2,1,1,0,0,0,0,1,0,0,1,0,4,3,0,0,9,21,72,12,5112
2018/08/01 21:00:00+00,0,0,40,87,135,1,61,,1,21,46,1,,0,0,0,0,0,,0,2,0,1,0,2,0,0,0,0,0,1,1,6,0,0,0,27,34,23,8,5113
2018/08/01 22:00:00+00,0,0,32,87,101,1,27,,0,8,52,1,,0,2,0,0,0,,0,1,1,1,0,1,0,0,1,0,0,0,1,3,1,0,0,8,21,4,9,5114
2018/08/01 23:00:00+00,0,0,18,40,20,1,28,,0,10,32,0,,0,3,0,0,0,,0,1,1,1,0,0,0,0,1,0,1,0,1,0,1,0,0,5,20,8,5,5115
2018/08/02 00:00:00+00,0,0,13,14,7,1,24,,1,5,13,1,,0,1,0,0,0,,0,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,2,7,6,5,5116
2018/08/02 01:00:00+00,0,0,8,19,12,1,12,,0,5,13,0,,0,1,0,0,0,,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,2,3,8,4,5117
2018/08/02 02:00:00+00,0,0,6,47,17,1,22,,0,2,6,0,,1,2,0,0,0,,0,0,1,1,1,0,0,0,0,0,0,1,1,0,0,0,0,2,5,23,4,5118
2018/08/02 03:00:00+00,0,1,8,86,14,1,21,,0,1,8,0,,0,2,0,0,0,,0,,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,2,6,19,4,5119
2018/08/02 04:00:00+00,0,2,8,120,27,1,58,,1,3,32,0,,1,1,0,0,1,,0,1,1,1,1,0,0,0,1,0,0,1,2,0,0,0,0,6,21,119,5,5120
2018/08/02 05:00:00+00,1,16,28,213,69,2,110,,1,7,58,5,,1,5,0,4,4,,0,8,1,1,1,3,1,0,5,0,0,1,3,2,1,3,2,10,44,273,22,5121
2018/08/02 06:00:00+00,14,12,61,151,69,11,137,,3,39,139,17,,2,16,4,8,4,,3,4,2,4,7,22,9,3,16,0,0,3,13,11,2,12,7,18,76,196,36,5122
2018/08/02 07:00:00+00,8,3,73,98,64,38,132,,8,43,176,15,,4,32,11,8,12,,8,6,4,10,9,13,18,9,21,1,1,6,8,17,5,14,18,23,71,135,37,5123
2018/08/02 08:00:00+00,11,2,97,90,87,7,117,,12,50,158,13,,9,77,13,7,3,,7,,6,16,7,20,25,12,16,1,2,8,7,23,6,14,33,43,61,164,46,5124
2018/08/02 09:00:00+00,16,3,,88,124,10,111,,11,29,127,6,,13,16,13,6,3,,5,4,8,16,11,22,24,13,15,1,2,7,6,33,8,8,49,38,45,188,39,5125
2018/08/02 10:00:00+00,16,2,74,87,134,8,97,,10,41,152,6,,12,29,5,5,3,,4,3,6,8,8,16,19,16,11,0,2,5,6,27,7,6,25,32,55,205,43,5126
2018/08/02 11:00:00+00,10,1,77,76,97,7,77,,4,36,,2,,8,15,2,3,3,,1,3,4,3,5,7,5,7,11,0,1,5,3,23,5,3,5,64,49,159,11,5127
2018/08/02 12:00:00+00,4,1,58,63,78,2,99,,1,28,73,0,,4,14,0,4,2,,0,,3,1,4,3,1,1,4,0,0,4,2,23,5,2,4,42,35,151,5,5128
2018/08/02 13:00:00+00,0,1,64,68,81,1,85,,1,25,71,0,,1,5,0,2,1,,0,1,2,1,2,0,1,0,,0,0,1,1,25,3,1,1,23,51,123,3,5129
2018/08/02 14:00:00+00,0,1,45,85,81,1,83,,1,13,64,,,0,8,1,1,0,,0,2,1,1,1,1,1,0,,0,0,1,1,12,2,1,3,34,27,134,7,5130
2018/08/02 15:00:00+00,0,0,58,65,92,1,64,,1,15,50,,,1,8,0,1,0,,1,1,1,1,1,0,1,0,,0,0,2,1,15,2,1,0,31,49,101,5,5131
2018/08/02 16:00:00+00,0,0,76,85,68,1,66,,1,34,64,0,,1,8,0,0,0,,0,3,1,1,1,0,1,0,2,0,0,1,1,9,1,1,1,35,55,131,5,5132
2018/08/02 17:00:00+00,0,0,74,65,87,1,48,,1,23,66,0,,1,7,0,0,0,,0,3,0,1,1,1,1,0,1,0,0,1,1,10,3,0,1,17,43,104,3,5133
2018/08/02 18:00:00+00,0,0,68,41,36,0,43,,1,23,91,0,,0,6,0,0,0,,0,3,0,1,1,0,1,0,1,0,0,1,2,7,5,0,0,11,54,140,7,5134
2018/08/02 19:00:00+00,0,0,36,45,39,0,36,,0,15,71,0,,1,3,0,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,5,3,1,0,5,25,103,4,5135
2018/08/02 20:00:00+00,0,0,26,31,72,0,38,,0,12,48,0,,0,0,0,0,0,,0,2,0,1,0,0,0,0,0,0,0,0,0,4,2,0,0,15,34,99,2,5136
2018/08/02 21:00:00+00,0,0,29,21,116,0,49,,0,28,41,0,,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,1,5,2,0,0,36,20,104,4,5137
2018/08/02 22:00:00+00,0,0,25,18,111,1,34,,0,13,36,0,,0,0,0,0,0,,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,25,16,117,4,5138
2018/08/02 23:00:00+00,0,0,20,13,54,1,20,,0,15,27,0,,0,0,0,0,0,,0,1,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,12,12,95,2,5139
2018/08/03 00:00:00+00,0,0,14,10,32,1,11,,0,6,13,0,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,5,38,2,5140
2018/08/03 01:00:00+00,0,0,11,7,25,1,12,,0,3,9,0,,1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,54,2,5141
2018/08/03 02:00:00+00,0,0,7,10,26,1,13,,0,6,5,0,,0,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,54,4,5142
2018/08/03 03:00:00+00,0,1,10,27,13,1,24,,1,5,8,0,,0,1,0,0,0,,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,2,9,72,4,5143
2018/08/03 04:00:00+00,0,4,12,43,17,1,52,,0,4,28,0,,0,5,0,0,0,,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,11,24,138,5,5144
2018/08/03 05:00:00+00,0,15,29,83,125,1,99,,1,8,50,0,,0,3,0,0,1,,0,2,0,1,1,5,0,0,2,0,0,1,1,4,0,3,1,34,47,203,8,5145
2018/08/03 06:00:00+00,3,2,56,124,77,3,127,,5,14,125,3,,1,12,2,2,2,,1,2,1,4,2,16,6,2,5,0,0,2,4,11,1,2,5,20,163,160,29,5146
2018/08/03 07:00:00+00,6,2,61,77,81,5,96,,8,29,161,6,,4,8,5,4,2,,4,4,1,5,4,20,16,4,7,0,0,3,5,12,4,7,13,19,41,166,36,5147
2018/08/03 08:00:00+00,11,1,66,94,63,6,114,,11,48,140,4,,7,22,5,4,3,,2,4,3,,3,16,13,8,9,0,1,5,4,22,3,5,17,27,38,179,50,5148
2018/08/03 09:00:00+00,9,1,63,79,87,4,110,,10,,132,1,,8,17,5,4,2,,2,2,4,,3,12,11,9,11,0,0,6,3,14,3,5,11,24,48,159,29,5149
2018/08/03 10:00:00+00,6,1,60,79,84,3,88,,4,,,1,,4,18,4,2,1,,0,2,6,,2,8,6,4,6,0,0,4,2,10,3,3,8,16,28,140,26,5150
2018/08/03 11:00:00+00,3,0,55,69,78,2,71,,2,,,1,,2,10,1,1,0,,1,3,5,,1,2,4,2,3,0,0,3,3,11,2,3,5,19,44,120,19,5151
2018/08/03 12:00:00+00,1,0,39,,67,1,55,,1,28,,0,,2,17,1,0,0,,0,1,4,,1,1,2,1,2,0,0,2,2,7,1,1,2,11,35,113,12,5152
2018/08/03 13:00:00+00,0,0,44,,67,1,50,,1,23,,0,,1,6,0,0,0,,0,2,3,,1,1,1,0,1,0,0,1,1,6,0,1,1,10,35,145,8,5153
2018/08/03 14:00:00+00,0,0,47,,64,1,45,,1,16,,0,,0,10,1,0,0,,0,2,1,,0,0,0,0,1,0,0,1,0,19,1,0,0,19,60,92,4,5154
2018/08/03 15:00:00+00,0,0,41,72,89,1,40,,1,17,,0,,1,15,0,1,0,,0,2,1,,0,0,0,0,1,0,0,0,1,19,2,0,0,36,38,84,3,5155
2018/08/03 16:00:00+00,0,0,54,56,32,0,58,,1,11,,0,,1,15,0,0,0,,0,3,1,,0,0,0,0,1,0,0,1,0,7,2,0,0,23,47,99,6,5156
2018/08/03 17:00:00+00,0,0,53,55,18,0,42,,0,11,,0,,1,8,0,0,0,,0,3,1,,0,0,0,0,1,0,0,1,0,6,1,0,0,,55,90,3,5157
2018/08/03 18:00:00+00,0,0,55,71,12,0,49,,1,15,,0,,1,5,0,1,0,,0,2,1,,0,1,0,0,0,0,,0,0,5,1,0,0,,23,113,4,5158
2018/08/03 19:00:00+00,0,0,41,64,17,0,41,,0,13,,0,,0,4,0,0,0,,0,1,1,,0,0,0,0,0,0,0,0,0,2,1,0,0,,19,95,6,5159
2018/08/03 20:00:00+00,0,0,26,53,13,0,44,,0,10,,0,,0,4,0,0,0,,0,0,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,5,15,48,3,5160
2018/08/03 21:00:00+00,0,0,21,20,11,0,47,,0,6,,0,,0,10,0,0,0,,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,4,32,50,3,5161
2018/08/03 22:00:00+00,0,0,18,19,13,0,45,,0,5,,0,,0,7,0,0,0,,0,1,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,33,9,63,4,5162
2018/08/03 23:00:00+00,0,0,16,14,12,0,32,,0,7,,0,,0,6,0,0,0,,0,1,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,114,4,5163
2018/08/04 00:00:00+00,0,0,17,16,6,0,36,,0,4,,0,,0,15,0,0,0,,0,0,1,,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,45,4,5164
2018/08/04 01:00:00+00,0,0,12,12,4,0,43,,0,3,,0,,0,8,0,0,0,,0,1,0,,1,0,0,0,0,0,0,0,0,0,0,0,0,2,3,34,3,5165
2018/08/04 02:00:00+00,0,0,10,16,4,0,22,,0,7,,0,,0,8,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,79,3,5166
2018/08/04 03:00:00+00,0,1,7,35,9,0,31,,0,7,,0,,0,6,0,0,0,,0,0,0,,1,0,0,0,0,0,0,0,0,2,0,0,0,3,4,88,3,5167
2018/08/04 04:00:00+00,0,2,7,37,10,0,87,,0,4,,1,,0,8,0,0,0,,0,0,0,,1,0,0,0,0,0,1,0,0,1,0,1,0,2,13,105,3,5168
2018/08/04 05:00:00+00,0,1,18,80,16,1,75,,0,8,,0,,0,8,0,0,0,,0,1,0,,2,0,0,0,1,0,0,0,1,2,0,0,0,8,11,163,5,5169
2018/08/04 06:00:00+00,0,1,23,75,9,2,90,,1,6,,0,,0,13,2,0,1,,1,1,1,,2,0,0,0,1,0,0,1,3,5,0,1,1,7,15,95,5,5170
2018/08/04 07:00:00+00,0,3,22,48,13,1,55,,1,7,,1,,0,10,4,1,1,,2,3,2,,2,0,1,1,2,0,0,1,6,3,0,1,1,10,14,62,6,5171
2018/08/04 08:00:00+00,2,1,33,71,11,1,50,,2,11,,2,,1,16,2,1,1,,2,4,3,,2,1,3,1,4,1,0,1,7,4,0,3,3,6,16,42,7,5172
2018/08/04 09:00:00+00,2,0,31,78,28,1,53,,2,12,,2,,2,18,2,1,1,,1,3,4,,1,1,3,1,3,0,0,2,4,5,0,3,3,9,27,40,7,5173
2018/08/04 10:00:00+00,1,0,30,62,18,0,53,,1,9,,1,,1,10,2,0,1,,0,4,4,,1,1,2,1,2,0,0,2,4,3,0,2,2,12,23,52,7,5174
2018/08/04 11:00:00+00,0,0,40,56,27,0,60,,1,15,,1,,0,11,2,0,0,,2,2,5,,1,1,2,0,2,0,0,1,2,4,0,1,1,8,24,52,5,5175
2018/08/04 12:00:00+00,0,0,36,59,17,1,58,,1,9,,0,,0,6,1,0,0,,1,2,3,,1,0,1,0,1,0,0,1,1,6,0,1,1,10,21,55,6,5176
2018/08/04 13:00:00+00,0,0,40,45,28,0,57,,1,12,,0,,1,8,0,0,0,,0,1,2,,1,1,1,0,2,0,0,1,1,5,0,0,0,5,47,70,4,5177
2018/08/04 14:00:00+00,0,0,50,57,30,0,45,,1,15,,0,,1,5,0,0,0,,0,3,1,,1,1,0,0,1,0,0,2,1,4,0,0,0,11,23,84,4,5178
2018/08/04 15:00:00+00,0,0,38,49,23,0,49,,1,9,,0,,0,11,0,0,0,,1,1,1,,1,0,0,0,1,0,0,2,1,6,0,1,1,12,27,98,3,5179
2018/08/04 16:00:00+00,0,0,50,56,27,0,41,,1,13,,0,,0,8,0,0,0,,0,2,1,,0,1,0,0,2,0,0,2,1,8,0,0,0,13,18,114,4,5180
2018/08/04 17:00:00+00,0,0,60,66,14,0,34,,1,12,,0,,1,12,0,0,0,,0,1,1,,1,2,0,0,1,0,0,1,1,6,0,0,0,7,16,106,5,5181
2018/08/04 18:00:00+00,0,0,52,75,21,0,43,,0,12,,0,,0,11,0,0,0,,0,3,0,,0,2,0,0,1,0,0,1,1,4,0,0,0,8,15,96,7,5182
2018/08/04 19:00:00+00,0,0,34,84,16,0,43,,0,9,,0,,0,6,0,0,0,,0,2,1,,0,1,0,0,0,0,0,0,0,1,0,0,0,4,12,107,4,5183
2018/08/04 20:00:00+00,0,0,25,34,15,0,38,,0,5,,0,,0,5,0,0,0,,0,1,1,,0,2,0,0,0,0,0,0,0,0,0,0,0,4,12,34,2,5184
2018/08/04 21:00:00+00,0,0,23,18,14,0,21,,0,4,,0,,0,1,0,0,0,,0,1,0,,1,1,0,0,0,0,0,0,0,1,0,0,0,4,8,51,4,5185
2018/08/04 22:00:00+00,0,0,24,12,24,0,27,,1,5,,0,,1,2,0,0,0,,0,,0,,1,2,0,0,0,0,0,0,0,1,0,0,0,5,7,58,3,5186
2018/08/04 23:00:00+00,0,0,20,18,19,0,24,,0,8,,0,,1,4,0,0,0,,0,,0,,1,1,0,0,1,0,0,0,0,0,0,0,0,6,7,56,3,5187
2018/08/05 00:00:00+00,0,0,15,13,13,0,21,,1,7,,0,,1,4,0,0,0,,0,,0,,1,0,0,0,0,0,0,0,1,0,0,0,0,6,5,39,4,5188
2018/08/05 01:00:00+00,0,0,15,8,17,0,15,,0,9,,0,,0,3,0,0,0,,0,,1,,1,0,0,0,0,0,0,0,1,0,0,0,0,4,4,31,3,5189
2018/08/05 02:00:00+00,0,0,11,9,6,0,10,,0,4,,0,,0,2,0,0,0,,0,0,0,,2,0,0,0,0,0,0,0,1,0,0,0,0,3,3,19,3,5190
2018/08/05 03:00:00+00,0,0,7,8,9,0,14,,1,5,,0,,0,1,0,0,,,0,0,0,,2,0,1,0,0,0,0,0,1,0,0,0,0,3,3,24,3,5191
2018/08/05 04:00:00+00,0,0,7,13,15,0,15,,1,4,,0,,1,2,0,0,,,0,0,0,,1,0,1,0,0,0,0,0,1,0,0,0,0,4,6,27,3,5192
2018/08/05 05:00:00+00,0,0,9,13,13,1,19,,1,3,,0,,0,0,0,0,,,0,2,0,,3,0,1,0,2,0,0,1,1,0,0,0,0,8,7,31,3,5193
2018/08/05 06:00:00+00,0,0,9,16,21,1,20,,1,13,,0,,1,2,0,0,,,0,1,0,,3,1,2,0,3,0,0,2,1,4,1,1,1,6,9,30,4,5194
2018/08/05 07:00:00+00,1,1,22,22,26,2,21,,3,11,,0,,1,2,1,1,,,1,2,1,,3,2,5,1,5,0,0,2,2,3,2,2,3,8,12,47,6,5195
2018/08/05 08:00:00+00,2,1,35,32,26,2,32,,4,17,,1,,2,5,1,1,,,1,2,1,,4,5,6,2,4,0,0,2,2,4,1,2,5,8,13,49,9,5196
